AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),Auto-AddedZeroLengthBoatTailFX(N),Auto-AddedZeroLengthBoatTailFY(N),Auto-AddedZeroLengthBoatTailFZ(N),Auto-AddedZeroLengthBoatTailMX(Nm),Auto-AddedZeroLengthBoatTailMY(Nm),Auto-AddedZeroLengthBoatTailMZ(Nm),FirstStage.AirbrakesAssemblyFX(N),FirstStage.AirbrakesAssemblyFY(N),FirstStage.AirbrakesAssemblyFZ(N),FirstStage.AirbrakesAssemblyMX(Nm),FirstStage.AirbrakesAssemblyMY(Nm),FirstStage.AirbrakesAssemblyMZ(Nm),FirstStage.AirbrakesFX(N),FirstStage.AirbrakesFY(N),FirstStage.AirbrakesFZ(N),FirstStage.AirbrakesMX(Nm),FirstStage.AirbrakesMY(Nm),FirstStage.AirbrakesMZ(Nm),FirstStage.Avionics+UpperplumbingFX(N),FirstStage.Avionics+UpperplumbingFY(N),FirstStage.Avionics+UpperplumbingFZ(N),FirstStage.Avionics+UpperplumbingMX(Nm),FirstStage.Avionics+UpperplumbingMY(Nm),FirstStage.Avionics+UpperplumbingMZ(Nm),FirstStage.AvionicsTube+UpperPlumbingFX(N),FirstStage.AvionicsTube+UpperPlumbingFY(N),FirstStage.AvionicsTube+UpperPlumbingFZ(N),FirstStage.AvionicsTube+UpperPlumbingMX(Nm),FirstStage.AvionicsTube+UpperPlumbingMY(Nm),FirstStage.AvionicsTube+UpperPlumbingMZ(Nm),FirstStage.BallastFX(N),FirstStage.BallastFY(N),FirstStage.BallastFZ(N),FirstStage.BallastMX(Nm),FirstStage.BallastMY(Nm),FirstStage.BallastMZ(Nm),FirstStage.CameraAssemblyFX(N),FirstStage.CameraAssemblyFY(N),FirstStage.CameraAssemblyFZ(N),FirstStage.CameraAssemblyMX(Nm),FirstStage.CameraAssemblyMY(Nm),FirstStage.CameraAssemblyMZ(Nm),FirstStage.ChutesFX(N),FirstStage.ChutesFY(N),FirstStage.ChutesFZ(N),FirstStage.ChutesMX(Nm),FirstStage.ChutesMY(Nm),FirstStage.ChutesMZ(Nm),FirstStage.CouplerFX(N),FirstStage.CouplerFY(N),FirstStage.CouplerFZ(N),FirstStage.CouplerMX(Nm),FirstStage.CouplerMY(Nm),FirstStage.CouplerMZ(Nm),FirstStage.DiskplateFX(N),FirstStage.DiskplateFY(N),FirstStage.DiskplateFZ(N),FirstStage.DiskplateMX(Nm),FirstStage.DiskplateMY(Nm),FirstStage.DiskplateMZ(Nm),FirstStage.FinCan+CC+MoterLinerFX(N),FirstStage.FinCan+CC+MoterLinerFY(N),FirstStage.FinCan+CC+MoterLinerFZ(N),FirstStage.FinCan+CC+MoterLinerMX(Nm),FirstStage.FinCan+CC+MoterLinerMY(Nm),FirstStage.FinCan+CC+MoterLinerMZ(Nm),FirstStage.FinsFX(N),FirstStage.FinsFY(N),FirstStage.FinsFZ(N),FirstStage.FinsMX(Nm),FirstStage.FinsMY(Nm),FirstStage.FinsMZ(Nm),FirstStage.InjectorBulkheadCasingFX(N),FirstStage.InjectorBulkheadCasingFY(N),FirstStage.InjectorBulkheadCasingFZ(N),FirstStage.InjectorBulkheadCasingMX(Nm),FirstStage.InjectorBulkheadCasingMY(Nm),FirstStage.InjectorBulkheadCasingMZ(Nm),FirstStage.LowerBulkheadCasingFX(N),FirstStage.LowerBulkheadCasingFY(N),FirstStage.LowerBulkheadCasingFZ(N),FirstStage.LowerBulkheadCasingMX(Nm),FirstStage.LowerBulkheadCasingMY(Nm),FirstStage.LowerBulkheadCasingMZ(Nm),FirstStage.LowerInjectorBulkheadFX(N),FirstStage.LowerInjectorBulkheadFY(N),FirstStage.LowerInjectorBulkheadFZ(N),FirstStage.LowerInjectorBulkheadMX(Nm),FirstStage.LowerInjectorBulkheadMY(Nm),FirstStage.LowerInjectorBulkheadMZ(Nm),FirstStage.LowerPVBulkheadFX(N),FirstStage.LowerPVBulkheadFY(N),FirstStage.LowerPVBulkheadFZ(N),FirstStage.LowerPVBulkheadMX(Nm),FirstStage.LowerPVBulkheadMY(Nm),FirstStage.LowerPVBulkheadMZ(Nm),FirstStage.LowerPlumbingFX(N),FirstStage.LowerPlumbingFY(N),FirstStage.LowerPlumbingFZ(N),FirstStage.LowerPlumbingMX(Nm),FirstStage.LowerPlumbingMY(Nm),FirstStage.LowerPlumbingMZ(Nm),FirstStage.LowerPlumbingTubeFX(N),FirstStage.LowerPlumbingTubeFY(N),FirstStage.LowerPlumbingTubeFZ(N),FirstStage.LowerPlumbingTubeMX(Nm),FirstStage.LowerPlumbingTubeMY(Nm),FirstStage.LowerPlumbingTubeMZ(Nm),FirstStage.MotorFX(N),FirstStage.MotorFY(N),FirstStage.MotorFZ(N),FirstStage.MotorMX(Nm),FirstStage.MotorMY(Nm),FirstStage.MotorMZ(Nm),FirstStage.NoseConeShellFX(N),FirstStage.NoseConeShellFY(N),FirstStage.NoseConeShellFZ(N),FirstStage.NoseConeShellMX(Nm),FirstStage.NoseConeShellMY(Nm),FirstStage.NoseConeShellMZ(Nm),FirstStage.NozzleFX(N),FirstStage.NozzleFY(N),FirstStage.NozzleFZ(N),FirstStage.NozzleHousingMassFX(N),FirstStage.NozzleHousingMassFY(N),FirstStage.NozzleHousingMassFZ(N),FirstStage.NozzleHousingMassMX(Nm),FirstStage.NozzleHousingMassMY(Nm),FirstStage.NozzleHousingMassMZ(Nm),FirstStage.NozzleMX(Nm),FirstStage.NozzleMY(Nm),FirstStage.NozzleMZ(Nm),FirstStage.PayloadFX(N),FirstStage.PayloadFY(N),FirstStage.PayloadFZ(N),FirstStage.PayloadMX(Nm),FirstStage.PayloadMY(Nm),FirstStage.PayloadMZ(Nm),FirstStage.PressureVesselFX(N),FirstStage.PressureVesselFY(N),FirstStage.PressureVesselFZ(N),FirstStage.PressureVesselMX(Nm),FirstStage.PressureVesselMY(Nm),FirstStage.PressureVesselMZ(Nm),FirstStage.RecoveryBulkheadFX(N),FirstStage.RecoveryBulkheadFY(N),FirstStage.RecoveryBulkheadFZ(N),FirstStage.RecoveryBulkheadMX(Nm),FirstStage.RecoveryBulkheadMY(Nm),FirstStage.RecoveryBulkheadMZ(Nm),FirstStage.RecoverySystemFX(N),FirstStage.RecoverySystemFY(N),FirstStage.RecoverySystemFZ(N),FirstStage.RecoverySystemMX(Nm),FirstStage.RecoverySystemMY(Nm),FirstStage.RecoverySystemMZ(Nm),FirstStage.RecoveryTubeFX(N),FirstStage.RecoveryTubeFY(N),FirstStage.RecoveryTubeFZ(N),FirstStage.RecoveryTubeMX(Nm),FirstStage.RecoveryTubeMY(Nm),FirstStage.RecoveryTubeMZ(Nm),FirstStage.UpperBulkheadCasingFX(N),FirstStage.UpperBulkheadCasingFY(N),FirstStage.UpperBulkheadCasingFZ(N),FirstStage.UpperBulkheadCasingMX(Nm),FirstStage.UpperBulkheadCasingMY(Nm),FirstStage.UpperBulkheadCasingMZ(Nm),FirstStage.UpperPVBulkheadFX(N),FirstStage.UpperPVBulkheadFY(N),FirstStage.UpperPVBulkheadFZ(N),FirstStage.UpperPVBulkheadMX(Nm),FirstStage.UpperPVBulkheadMY(Nm),FirstStage.UpperPVBulkheadMZ(Nm),FirstStage.intermediateTubeFX(N),FirstStage.intermediateTubeFY(N),FirstStage.intermediateTubeFZ(N),FirstStage.intermediateTubeMX(Nm),FirstStage.intermediateTubeMY(Nm),FirstStage.intermediateTubeMZ(Nm),GravityFX(N),GravityFY(N),GravityFZ(N),TotalFX(N),TotalFY(N),TotalFZ(N)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,26.43774967984008,0.0,-504.46231535697126,-26.292920920866525,-0.0,-501.6988180106828
8.996695915820249e-07,0.0,-1.6337626952975044,0.0,1.101245856912126e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19810572124026e-08,0.0,-3.444216805299025e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.583188531950261e-08,0.0,-8.748310685459525e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.726479713323834e-09,0.0,-1.3673540717037132e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.770579930912957e-08,0.0,-1.530954369955417e-05,0.0,0.0,0.0,0.0,0.0,-7.305434115015162e-07,0.0,-9.117368529473373e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.428687011398364e-08,0.0,-3.805515148174893e-06,0.0,0.0,0.0,0.0,0.0,-1.6336956858702325,0.0,0.0,0.0,5.097937779113611e-07,0.0,-5.189154806627036e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.935299756841658e-08,0.0,-1.4000741313540537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07776231922932e-08,0.0,-9.523259466651805e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1213101241611693e-08,0.0,-4.890787863524616e-06,0.0,0.0,0.0,26.435619698440203,0.0,-504.4216728907379,-26.376189957205117,-0.0,-503.28768587491487
2.0341301751193465e-06,0.0,4.492512667675927,0.0,2.4898339656520444e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.969861399688795e-08,0.0,-7.787287016592798e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2623447955209542e-07,0.0,-1.9779709022145705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.973034975676452e-08,0.0,-3.0915529455873403e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20910339216167e-07,0.0,-3.4614490788754985e-05,0.0,0.0,0.0,0.0,0.0,-1.651740162989677e-06,0.0,-2.735210558842011e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49119986051615e-08,0.0,-8.604173424633384e-06,0.0,0.0,0.0,0.0,0.0,4.492664174294844,0.0,0.0,0.0,1.152630828517945e-06,0.0,-1.1732547669637336e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.020248658973496e-07,0.0,-3.165532172244972e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.374166677013952e-07,0.0,-2.1531848600879085e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05720318755809e-08,0.0,-1.1057947563561772e-05,0.0,0.0,0.0,26.4345547081029,0.0,-504.4013516645408,-26.05494572326591,-0.0,-497.1579807369764
1.2858908738592388e-05,0.0,-7.761009155334027,-7.293894823578697e-23,1.573793542297392e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14173571405282e-07,0.0,-4.9227927399463256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.980008713694163e-07,0.0,-0.0001250389355946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2472690784789698e-07,0.0,-1.954348717758691e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3965015248964786e-06,0.0,-0.0002188181372906,0.0,0.0,0.0,0.0,0.0,-1.0441601187533489e-05,-7.293894823578697e-23,-7.293894823578697e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.471303790456961e-07,0.0,-5.439193698366696e-05,0.0,0.0,0.0,0.0,0.0,-7.760051394714541,0.0,0.0,0.0,7.286443519934039e-06,0.0,-7.416819280719852e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2771155677624714e-06,0.0,-0.0002001115248788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.68689924935605e-07,0.0,-0.0001361152192595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4612647139550043e-07,0.0,-6.990365690723783e-05,0.0,0.0,0.0,26.42922975684,0.0,-504.2997455416378,-26.6900708158815,-0.0,-509.2768894429805
1.2957422295180776e-05,0.0,0.2259383492166985,-7.293894823578697e-23,1.5858193963236653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.165804907274808e-07,0.0,-4.960506812594178e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.041144464478012e-07,0.0,-0.0001259968730398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.256824548188099e-07,0.0,-1.969321204599889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.407200281283652e-06,0.0,-0.0002204945278198,0.0,0.0,0.0,0.0,0.0,-1.0521595477287994e-05,-7.293894823578697e-23,-7.293894823578697e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.497897842047935e-07,0.0,-5.480863977235309e-05,0.0,0.0,0.0,0.0,0.0,0.2269034473487501,0.0,0.0,0.0,7.34226578919652e-06,0.0,-7.473640373125243e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2868996948072091e-06,0.0,-0.0002016446019319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.753450568614843e-07,0.0,-0.0001371580133682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4954429683302266e-07,0.0,-7.043919673883733e-05,0.0,0.0,0.0,26.428283099184448,0.0,-504.2816822375158,-26.27169766942075,-0.0,-501.293854248888
1.7813153544422027e-05,0.0,1.6323689222171245,-1.4587789647157397e-22,2.180043997074269e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.352174963529977e-07,0.0,-6.819432700860087e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1054524407366145e-06,0.0,-0.0001732135906018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.727813460521401e-07,0.0,-2.707314782241454e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.934541771289075e-06,0.0,-0.0003031237835532,0.0,0.0,0.0,0.0,0.0,-1.4464512434923271e-05,-1.4587789647157397e-22,-1.4587789647157397e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.808718117204272e-07,0.0,-7.53479119118031e-05,0.0,0.0,0.0,0.0,0.0,1.6336956861971177,0.0,0.0,0.0,1.0093744333358544e-05,0.0,-0.0001027435088397,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7691591226749354e-06,0.0,-0.0002772099392899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2033763774160386e-06,0.0,-0.0001885573141787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.180088448212566e-07,0.0,-9.68359443522132e-05,0.0,0.0,0.0,26.42709977710948,0.0,-504.2591031072576,-26.197014803163626,-0.0,-499.8688202696045
2.2751341207609197e-05,0.0,1.6320011148305311,0.0,2.784398882620592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.558691073063166e-07,0.0,-8.709925476661978e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.411907532558044e-06,0.0,-0.0002212321071072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.206800356006077e-07,0.0,-3.457840414234805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4708381819765774e-06,0.0,-0.0003871561874376,0.0,0.0,0.0,0.0,0.0,-1.84743850798273e-05,0.0,-2.188168447073609e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.141797766627493e-07,0.0,-9.623596659163822e-05,0.0,0.0,0.0,0.0,0.0,1.6336956861971177,0.0,0.0,0.0,1.289194643822779e-05,0.0,-0.0001312262096365,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259607921200177e-06,0.0,-0.0003540584706263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5369780817019655e-06,0.0,-0.0002408294394297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.893341323749696e-07,0.0,-0.0001236809417686,0.0,0.0,0.0,26.427099776863017,0.0,-504.2591031025549,-26.197034012563005,-0.0,-499.8691868067798
9.10794119106942e-07,0.0,12.93841628205382,0.0,1.114616036458909e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2252855746301785e-08,0.0,-3.4868049787744912e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6522253595606536e-08,0.0,-8.856484646087207e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.834383731281808e-09,0.0,-1.3842615765734726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.891394379231144e-08,0.0,-1.5498848130652616e-05,0.0,0.0,0.0,0.0,0.0,-7.395766725638537e-07,0.0,-9.117368529473373e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4587180314088845e-08,0.0,-3.852570821047935e-06,0.0,0.0,0.0,0.0,0.0,12.938484120061077,0.0,0.0,0.0,5.16097442020362e-07,0.0,-5.253319357695849e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.045785860871676e-08,0.0,-1.4173862238718307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.152914613852445e-08,0.0,-9.641015766311469e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.159905515974853e-08,0.0,-4.951263069859777e-06,0.0,0.0,0.0,26.42494968926924,0.0,-504.2180769872874,-25.603974661948467,-0.0,-488.55294027376846
1.9805289141875377e-06,0.0,6.103080278403736,0.0,2.4236871938877195e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83890083436312e-08,0.0,-7.582084612114277e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2290808119282325e-07,0.0,-1.9258494914770262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9210436312421586e-08,0.0,-3.010087591009368e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1508914208744065e-07,0.0,-3.3702366100847964e-05,0.0,0.0,0.0,0.0,0.0,-1.6082152418324054e-06,0.0,-9.117368529473373e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.346501531887812e-08,0.0,-8.377445287925066e-06,0.0,0.0,0.0,0.0,0.0,6.103227792679436,0.0,0.0,0.0,1.1222579120973855e-06,0.0,-1.1423383902161118e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.967013189168608e-07,0.0,-3.082117394824453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3379560807014025e-07,0.0,-2.0964463952495977e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87123918479563e-08,0.0,-1.0766560149202274e-05,0.0,0.0,0.0,26.423874644890628,0.0,-504.1975639185538,-25.96014908803519,-0.0,-495.3491531826023
1.6548096971305065e-05,0.0,20.5433321794344,0.0,2.024859999788747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0430917048448395e-07,0.0,-6.335129453955434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.026945293030589e-06,0.0,-0.0001609122881304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.605107406823401e-07,0.0,-2.515046393220307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7971542628035308e-06,0.0,-0.0002815965042283,0.0,0.0,0.0,0.0,0.0,-1.3437270035928568e-05,0.0,-2.188168447073609e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.467212024683063e-07,0.0,-6.99968453367536e-05,0.0,0.0,0.0,0.0,0.0,20.5445647191392,0.0,0.0,0.0,9.376905645338824e-06,0.0,-9.54468586472832e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6435167780194268e-06,0.0,-0.0002575230123032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.117914856389598e-06,0.0,-0.0001751663294018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74119022087967e-07,0.0,-8.995883824616716e-05,0.0,0.0,0.0,26.41849943574925,0.0,-504.0949988182021,-25.2000946147443,-0.0,-480.8464498876196
