"part X,Y,Z",Forces & Moments,Magnitude Vectors of Forces and Moments
AeroFX(N),35.58077015367168,
AeroFY(N),9.854426431716917e-14,
AeroFZ(N),5231.385122771488,5231.506120990358
AeroMX(Nm),9.313700059706229e-14,
AeroMY(Nm),13.17650471736442,
AeroMZ(Nm),4.331420792830106e-15,13.17650471736442
Auto-AddedZeroLengthBoatTailFX(N),0.0,
Auto-AddedZeroLengthBoatTailFY(N),0.0,
Auto-AddedZeroLengthBoatTailFZ(N),180.4543000457096,180.4543000457096
Auto-AddedZeroLengthBoatTailMX(Nm),0.0,
Auto-AddedZeroLengthBoatTailMY(Nm),0.0,
Auto-AddedZeroLengthBoatTailMZ(Nm),0.0,0.0
FirstStage.AirbrakesAssemblyFX(N),1.390988214627645,
FirstStage.AirbrakesAssemblyFY(N),1.9363710571304508e-15,
FirstStage.AirbrakesAssemblyFZ(N),16.05642196710671,16.11656088000849
FirstStage.AirbrakesAssemblyMX(Nm),1.32028770364998e-33,
FirstStage.AirbrakesAssemblyMY(Nm),0.000412929520246,
FirstStage.AirbrakesAssemblyMZ(Nm),9.27924098811039e-19,0.000412929520246
FirstStage.AirbrakesFX(N),0.0,
FirstStage.AirbrakesFY(N),0.0,
FirstStage.AirbrakesFZ(N),0.0,0.0
FirstStage.AirbrakesMX(Nm),0.0,
FirstStage.AirbrakesMY(Nm),0.0,
FirstStage.AirbrakesMZ(Nm),0.0,0.0
FirstStage.Avionics+UpperplumbingFX(N),0.0,
FirstStage.Avionics+UpperplumbingFY(N),0.0,
FirstStage.Avionics+UpperplumbingFZ(N),0.0,0.0
FirstStage.Avionics+UpperplumbingMX(Nm),0.0,
FirstStage.Avionics+UpperplumbingMY(Nm),0.0,
FirstStage.Avionics+UpperplumbingMZ(Nm),0.0,0.0
FirstStage.AvionicsTube+UpperPlumbingFX(N),3.533110065154219,
FirstStage.AvionicsTube+UpperPlumbingFY(N),4.9183824851113465e-15,
FirstStage.AvionicsTube+UpperPlumbingFZ(N),33.84665434928214,34.03055799384244
FirstStage.AvionicsTube+UpperPlumbingMX(Nm),6.936207870911555e-34,
FirstStage.AvionicsTube+UpperPlumbingMY(Nm),0.0002169349135453,
FirstStage.AvionicsTube+UpperPlumbingMZ(Nm),1.9560476362147943e-18,0.0002169349135453
FirstStage.BallastFX(N),0.0,
FirstStage.BallastFY(N),0.0,
FirstStage.BallastFZ(N),0.0,0.0
FirstStage.BallastMX(Nm),0.0,
FirstStage.BallastMY(Nm),0.0,
