Time(s),AOA(deg),AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),AirDensity(kg/m^3),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),Auto-AddedZeroLengthBoatTailFX(N),Auto-AddedZeroLengthBoatTailFY(N),Auto-AddedZeroLengthBoatTailFZ(N),Auto-AddedZeroLengthBoatTailMX(Nm),Auto-AddedZeroLengthBoatTailMY(Nm),Auto-AddedZeroLengthBoatTailMZ(Nm),CGX(m),CGY(m),CGZ(m),CPZ(m),FirstStage.CameraTubeFX(N),FirstStage.CameraTubeFY(N),FirstStage.CameraTubeFZ(N),FirstStage.CameraTubeMX(Nm),FirstStage.CameraTubeMY(Nm),FirstStage.CameraTubeMZ(Nm),FirstStage.ChutesFX(N),FirstStage.ChutesFY(N),FirstStage.ChutesFZ(N),FirstStage.ChutesMX(Nm),FirstStage.ChutesMY(Nm),FirstStage.ChutesMZ(Nm),FirstStage.MotorFX(N),FirstStage.MotorFY(N),FirstStage.MotorFZ(N),FirstStage.MotorMX(Nm),FirstStage.MotorMY(Nm),FirstStage.MotorMZ(Nm),FirstStage.NoseConeShellFX(N),FirstStage.NoseConeShellFY(N),FirstStage.NoseConeShellFZ(N),FirstStage.NoseConeShellMX(Nm),FirstStage.NoseConeShellMY(Nm),FirstStage.NoseConeShellMZ(Nm),FirstStage.NoseConeTubeFX(N),FirstStage.NoseConeTubeFY(N),FirstStage.NoseConeTubeFZ(N),FirstStage.NoseConeTubeMX(Nm),FirstStage.NoseConeTubeMY(Nm),FirstStage.NoseConeTubeMZ(Nm),FirstStage.RecoverySystemFX(N),FirstStage.RecoverySystemFY(N),FirstStage.RecoverySystemFZ(N),FirstStage.RecoverySystemMX(Nm),FirstStage.RecoverySystemMY(Nm),FirstStage.RecoverySystemMZ(Nm),FirstStage.RecoveryTubeFX(N),FirstStage.RecoveryTubeFY(N),FirstStage.RecoveryTubeFZ(N),FirstStage.RecoveryTubeMX(Nm),FirstStage.RecoveryTubeMY(Nm),FirstStage.RecoveryTubeMZ(Nm),FirstStage.intermediateTubeFX(N),FirstStage.intermediateTubeFY(N),FirstStage.intermediateTubeFZ(N),FirstStage.intermediateTubeMX(Nm),FirstStage.intermediateTubeMY(Nm),FirstStage.intermediateTubeMZ(Nm),GravityFX(N),GravityFY(N),GravityFZ(N),MOIX(kg*m^2),MOIY(kg*m^2),MOIZ(kg*m^2),Mach,Mass(kg),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),RollAngle(deg),TotalFX(N),TotalFY(N),TotalFZ(N),UnitRe,VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s),WindX(m/s),WindY(m/s),WindZ(m/s)
0,92.21617597076282,1.270041972620263,0.004795771686018438,-0.00011853560653634856,-0.0058487762665720006,1.5489042918093423,0.0,1.1233853149578374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0035244531886094,-0.7839550805215394,0.16739346973165667,0.0006320900252668196,-1.9504728520026496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23106114117218482,0.0008725038246464276,-1.5587772613212182e-05,0.0,0.0,-0.0,0.0755172812312133,0.0002851587954896902,-1.1333838072456549e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5259578906909441,0.001986055590753132,-4.469402148356005e-05,0.0,0.0,0.0,0.27011218979426427,0.001019963449862368,-2.7415245847093284e-05,0.0,0.0,0.0,7.148264313215504,0.0,-204.69950740646595,27.291045059336682,27.291045059336682,0.08258325098894727,0.008940734981593626,20.863182070429378,0.9998476951563913,0.0,0.01745240643728351,0.0,0.0,893.0,180.21635203958562,-7.129308755725374,-0.0,-204.1566912610597,192210.6173054126,0.0,0.0,0.0,3.0113627021464726,0.011362702146472793,0.011362702146472793
0.002,92.61870400133843,1.2720386527656609,0.005498845586150963,-1.75013399448133,-0.006706220186684383,1.5513385778470352,0.0,1.1233853086117975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0034667098651124,-0.7838979691872079,0.16764758755176706,0.000724717126192329,-2.691659162682844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7499704111240324,0.0,0.0,0.0,0.23148055821139743,0.001000658150625394,-2.1512025525999666e-05,0.0,0.0,-0.0,0.07563192302051312,0.000326946248975403,-1.564006945150044e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267563404325409,0.0022770941521838522,-6.168074235122688e-05,0.0,0.0,0.0,0.2705222435494423,0.0011694299081739855,-3.783392834197219e-05,0.0,0.0,0.0,7.146901641358569,0.0,-204.66048559002923,27.290023954207804,27.290023954207804,0.08257277003793075,0.008950182950971856,20.859204927572232,0.9998476951563913,0.0,0.01745240643728351,2.0140008671436225e-06,0.0,893.000057673439,180.24768011655306,-7.18898442506676,-0.0,-205.86557884314718,192413.73158560798,-0.0013660362545668426,0.0,-0.019535228571129194,3.0130179120203207,0.013017912020320732,0.013017912020320732
0.003,92.8232149808643,1.2730482830580188,0.005850845368180795,4.812230247356783,-0.007135530184627441,1.5525746928213695,0.0,1.1233853102666385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0034378120712106,-0.783865299792341,0.1677754715375323,0.00077108492553144,-3.1179851367708924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.812419742630977,0.0,0.0,0.0,0.23169643585574412,0.0010648614326663347,-2.4919779779341273e-05,0.0,0.0,-0.0,0.07568961613681857,0.00034786444935907017,-1.8116863156958435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5271581577287238,0.0024227838853345817,-7.145193752037461e-05,0.0,0.0,0.0,0.27072860179919994,0.0012442506752893693,-4.382684237050078e-05,0.0,0.0,0.0,7.146220305528535,0.0,-204.64097468462973,27.289513090932857,27.289513090932857,0.08256752956242248,0.008955120398384038,20.857216356143663,0.9998476951563913,0.0,0.01745240643728351,-4.9849825599226034e-08,0.0,893.0000426340839,180.26332574370514,-6.959419824764659,-0.0,-199.29170880410493,192519.87858359603,-0.002062213510487435,0.0,-0.02949102716356311,3.013845516957245,0.0138455169572447,0.0138455169572447
0.008,93.60737261507663,1.2777176865239512,0.007613978480174383,-8.31266440036248,-0.00928582446234028,1.558273664731608,0.0,1.123385324641107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0032930615807576,-0.7837171872176867,0.16836728483930014,0.0010033083967236698,-5.072241287286878e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.312356118097078,0.0,0.0,0.0,0.2326925617600223,0.0013866256814190597,-4.0542545971019844e-05,0.0,0.0,-0.0,0.07595660463772973,0.00045262890170374645,-2.946894412815632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5290176620234829,0.0031524405874328947,-0.00011624862284222975,0.0,0.0,0.0,0.27168357326341613,0.0016189749128950129,-7.129973958785519e-05,0.0,0.0,0.0,7.14281362650257,0.0,-204.54342016118855,27.286955663199763,27.286955663199763,0.08254132718488119,0.008977832849235296,20.847273499000803,0.9998476951563913,0.0,0.01745240643728351,-1.4248957567038522e-05,0.0,892.9999119974841,180.34142414491333,-7.41378894146552,-0.0,-212.30313791388542,193008.1600070857,-0.004673876443776688,0.0,-0.06683954714755806,3.0179835416418643,0.01798354164186455,0.01798354164186455
0.008888888888888889,93.36630933164726,1.2778618160689994,0.007925709734488907,0.24278405585707533,-0.009665408577654062,1.5583533805614906,0.0,1.1233853347874005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.003267282498607,-0.7837665814327055,0.16839413799596675,0.00104443457184688,-4.421811366499296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24305280504602855,0.0,0.0,0.0,0.23267001864403294,0.0014430942442302031,-3.534341271281809e-05,0.0,0.0,-0.0,0.07596871907318047,0.00047118241479910387,-2.569022787754784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5291020358623274,0.003281660899041618,-0.00010134090907224588,0.0,0.0,0.0,0.27172690449349174,0.001685337604571102,-6.215652562562944e-05,0.0,0.0,0.0,7.142207994830354,0.0,-204.5260771392268,27.28650046585372,27.28650046585372,0.0825366689844294,0.008976253881869338,20.845505879953183,0.9998476951563913,0.0,0.01745240643728351,-2.159892674468499e-05,0.0,892.999819786969,180.35536228474686,-7.1147856517327055,-0.0,-203.74080397667154,192974.21651794016,-0.003732208149934583,0.0,-0.05337306315279461,3.0187191904746857,0.018719190474685857,0.018719190474685857
0.01,93.6848519660851,1.2791681103013042,0.008319568521396155,1.7496484846689706,-0.010146000475308033,1.5599895862072812,0.0,1.1233853453197509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0032350392483194,-0.7837005827179493,0.16855576467863467,0.0010962681313169361,-5.2966624554619e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7499704114741832,0.0,0.0,0.0,0.23297312544368753,0.0015152315517903544,-4.2337369470148864e-05,0.0,0.0,-0.0,0.07604163474706589,0.0004945664183327542,-3.077199512934399e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5296098742459374,0.003444524298967419,-0.0001213954626955085,0.0,0.0,0.0,0.2719877111859787,0.0017689781209886924,-7.445535336304884e-05,0.0,0.0,0.0,7.141450955196227,0.0,-204.50439836051876,27.285931238152564,27.285931238152564,0.08253084623386467,0.00898364582664245,20.84329635614366,0.9998476951563913,0.0,0.01745240643728351,-2.942026103897591e-05,0.0,892.9997240679204,180.37264018603275,-7.0614720906933455,-0.0,-202.21410333933423,193133.13246995432,-0.0048480052335518695,0.0,-0.06932970485581812,3.0196387515157124,0.01963875151571249,0.01963875151571249
0.01,94.24769836530399,1.2802112440963316,0.008323476350479548,1.7495421890538132,-0.010151858916029701,1.561429790334184,0.0,1.1233853366485156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0032350392483194,-0.7835693024141164,0.16867228698416245,0.0010966469777298204,-7.045384812525957e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7499704114741832,0.0,0.0,0.0,0.2332930264741777,0.001516787950070139,-5.631743668862025e-05,0.0,0.0,-0.0,0.07609420219626423,0.0004947373297258395,-4.092984865444173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5299759926263742,0.0034457146516169933,-0.00016148206500348302,0.0,0.0,0.0,0.2721757358153531,0.0017695894413367562,-9.903922189816293e-05,0.0,0.0,0.0,7.141450955019582,0.0,-204.5043983554603,27.285931238152564,27.285931238152564,0.08253084623386467,0.008992873623166593,20.84329635614366,0.9998476951563913,0.0,0.01745240643728351,-2.3909526075607838e-05,0.0,892.999802872966,180.37251144948993,-7.0614745274100255,-0.0,-202.2141731177703,193331.51303416086,-0.00693384292904677,0.0,-0.09915857360475971,3.0196387515157124,0.01963875151571249,0.01963875151571249
0.012017018823975028,92.77403227081558,1.2788520940493475,0.00902489704483961,13.873004119126378,-0.011004084682922204,1.559308285726988,0.0,1.1233853305264652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0031764524336215,-0.7838733813571175,0.16854164493849738,0.0011894033723020652,-3.0245797826637085e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.873187946805437,0.0,0.0,0.0,0.23274474785153773,0.001642486568119292,-2.4175277918094e-05,0.0,0.0,-0.0,0.07603526481884484,0.0005365831122771817,-1.7572549664822664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295655093806196,0.003737159459562739,-6.931823165867643e-05,0.0,0.0,0.0,0.27196492705984804,0.001919264532578332,-4.251582199067672e-05,0.0,0.0,0.0,7.140076687632113,0.0,-204.46504448647426,27.28489725308776,27.28489725308776,0.08252027609611794,0.008975232221819798,20.83928537013941,0.9998476951563913,0.0,0.01745240643728351,-1.1942286163416448e-05,0.0,892.9998585107693,180.40433129829117,-6.637260286172938,-0.0,-190.06626665948517,192952.2518781657,-0.0013658540641005672,0.0,-0.019532623126075833,3.0213080462523028,0.021308046252302804,0.021308046252302804
0.013025528235962541,92.94953169201527,1.2798227742358241,0.009382105469481474,6.53984587868088,-0.011439631611199293,1.5604920571938592,0.0,1.1233853184207032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0031471323712218,-0.7838438908535663,0.1686648716689967,0.001236445894580949,-3.4122296211418074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5400532692909135,0.0,0.0,0.0,0.23295058212666492,0.001707710610161995,-2.7274266266592762e-05,0.0,0.0,-0.0,0.07609085687794512,0.0005578057047143599,-1.9824347522497452e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5299526933690636,0.0038849692028594587,-7.820427761499241e-05,0.0,0.0,0.0,0.2721637701931538,0.0019951740571647132,-4.79654224182616e-05,0.0,0.0,0.0,7.139389553754197,0.0,-204.445367546707,27.284379942907826,27.284379942907826,0.08251499102724456,0.008979896462948844,20.837279877137288,0.9998476951563913,0.0,0.01745240643728351,-5.276052715848309e-06,0.0,892.9999685291386,180.42001551152552,-6.8923412739851155,-0.0,-197.370830434131,193052.52319911134,-0.0019567495219244765,0.0,-0.027982821861022564,3.022142693620598,0.02214269362059796,0.02214269362059796
0.01806807529590011,94.22925228078455,1.2854717902982895,0.011176420990228,21.993331671964267,-0.013628822401927514,1.5675381902651286,0.0,1.123385426219827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0030002653033954,-0.7835739020835644,0.16936611863697842,0.0014725387656531368,-7.008511453334273e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.99375767234591,0.0,0.0,0.0,0.23424708575831665,0.002036640606140007,-5.602693251619457e-05,0.0,0.0,-0.0,0.07640721488509143,0.0006643157840503358,-4.071229952046027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5321560432173242,0.004626783735262413,-0.00016065116345424893,0.0,0.0,0.0,0.27329532780057886,0.0023761420991221076,-9.852487162147384e-05,0.0,0.0,0.0,7.1359538877917625,0.0,-204.34698294601125,27.2817902111546,27.2817902111546,0.08248856568287773,0.009011210300447058,20.82725241212667,0.9998476951563913,0.0,0.01745240643728351,-7.892062047541558e-05,0.0,892.9989888400407,180.49814054480842,-6.349916758775494,-0.0,-181.8378246297256,193725.73488626812,-0.006415713877392206,0.0,-0.09174898295914112,3.026315930462074,0.026315930462073738,0.026315930462073738
