Time(s),AOA(deg),AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),AirDensity(kg/m^3),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),CGX(m),CGY(m),CGZ(m),CPZ(m),FirstStage.AvionicsFX(N),FirstStage.AvionicsFY(N),FirstStage.AvionicsFZ(N),FirstStage.AvionicsMX(Nm),FirstStage.AvionicsMY(Nm),FirstStage.AvionicsMZ(Nm),FirstStage.AvionicsTubeFX(N),FirstStage.AvionicsTubeFY(N),FirstStage.AvionicsTubeFZ(N),FirstStage.AvionicsTubeMX(Nm),FirstStage.AvionicsTubeMY(Nm),FirstStage.AvionicsTubeMZ(Nm),FirstStage.BoatTailFX(N),FirstStage.BoatTailFY(N),FirstStage.BoatTailFZ(N),FirstStage.BoatTailMX(Nm),FirstStage.BoatTailMY(Nm),FirstStage.BoatTailMZ(Nm),FirstStage.CanardsFX(N),FirstStage.CanardsFY(N),FirstStage.CanardsFZ(N),FirstStage.CanardsMX(Nm),FirstStage.CanardsMY(Nm),FirstStage.CanardsMZ(Nm),FirstStage.ChutesFX(N),FirstStage.ChutesFY(N),FirstStage.ChutesFZ(N),FirstStage.ChutesMX(Nm),FirstStage.ChutesMY(Nm),FirstStage.ChutesMZ(Nm),FirstStage.FinCanFX(N),FirstStage.FinCanFY(N),FirstStage.FinCanFZ(N),FirstStage.FinCanMX(Nm),FirstStage.FinCanMY(Nm),FirstStage.FinCanMZ(Nm),FirstStage.FinsFX(N),FirstStage.FinsFY(N),FirstStage.FinsFZ(N),FirstStage.FinsMX(Nm),FirstStage.FinsMY(Nm),FirstStage.FinsMZ(Nm),FirstStage.LowerInjectorBulkheadMassFX(N),FirstStage.LowerInjectorBulkheadMassFY(N),FirstStage.LowerInjectorBulkheadMassFZ(N),FirstStage.LowerInjectorBulkheadMassMX(Nm),FirstStage.LowerInjectorBulkheadMassMY(Nm),FirstStage.LowerInjectorBulkheadMassMZ(Nm),FirstStage.MotorCasingFX(N),FirstStage.MotorCasingFY(N),FirstStage.MotorCasingFZ(N),FirstStage.MotorCasingMX(Nm),FirstStage.MotorCasingMY(Nm),FirstStage.MotorCasingMZ(Nm),FirstStage.MotorFX(N),FirstStage.MotorFY(N),FirstStage.MotorFZ(N),FirstStage.MotorMX(Nm),FirstStage.MotorMY(Nm),FirstStage.MotorMZ(Nm),FirstStage.NoseConeFX(N),FirstStage.NoseConeFY(N),FirstStage.NoseConeFZ(N),FirstStage.NoseConeMX(Nm),FirstStage.NoseConeMY(Nm),FirstStage.NoseConeMZ(Nm),FirstStage.NozzleFX(N),FirstStage.NozzleFY(N),FirstStage.NozzleFZ(N),FirstStage.NozzleHousingMassFX(N),FirstStage.NozzleHousingMassFY(N),FirstStage.NozzleHousingMassFZ(N),FirstStage.NozzleHousingMassMX(Nm),FirstStage.NozzleHousingMassMY(Nm),FirstStage.NozzleHousingMassMZ(Nm),FirstStage.NozzleMX(Nm),FirstStage.NozzleMY(Nm),FirstStage.NozzleMZ(Nm),FirstStage.PayloadFX(N),FirstStage.PayloadFY(N),FirstStage.PayloadFZ(N),FirstStage.PayloadMX(Nm),FirstStage.PayloadMY(Nm),FirstStage.PayloadMZ(Nm),FirstStage.PlumbingFX(N),FirstStage.PlumbingFY(N),FirstStage.PlumbingFZ(N),FirstStage.PlumbingMX(Nm),FirstStage.PlumbingMY(Nm),FirstStage.PlumbingMZ(Nm),FirstStage.PressureVesselFX(N),FirstStage.PressureVesselFY(N),FirstStage.PressureVesselFZ(N),FirstStage.PressureVesselMX(Nm),FirstStage.PressureVesselMY(Nm),FirstStage.PressureVesselMZ(Nm),FirstStage.RecoverySystemFX(N),FirstStage.RecoverySystemFY(N),FirstStage.RecoverySystemFZ(N),FirstStage.RecoverySystemMX(Nm),FirstStage.RecoverySystemMY(Nm),FirstStage.RecoverySystemMZ(Nm),FirstStage.RecoveryTubeFX(N),FirstStage.RecoveryTubeFY(N),FirstStage.RecoveryTubeFZ(N),FirstStage.RecoveryTubeMX(Nm),FirstStage.RecoveryTubeMY(Nm),FirstStage.RecoveryTubeMZ(Nm),FirstStage.UnburntFuelFX(N),FirstStage.UnburntFuelFY(N),FirstStage.UnburntFuelFZ(N),FirstStage.UnburntFuelMX(Nm),FirstStage.UnburntFuelMY(Nm),FirstStage.UnburntFuelMZ(Nm),GravityFX(N),GravityFY(N),GravityFZ(N),MOIX(kg*m^2),MOIY(kg*m^2),MOIZ(kg*m^2),Mach,Mass(kg),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),RollAngle(deg),TotalFX(N),TotalFY(N),TotalFZ(N),UnitRe,VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s),WindX(m/s),WindY(m/s),WindZ(m/s)
0,92.430683337853,10.35236768961645,0.07819697621951843,-0.015794690227353254,0.017299716067003697,-1.6701782798505453,-0.000995537096406346,1.192783052823341,0.0,0.0,0.0,0.0,0.0,-3.199740997913266,-3.3610773905536355,0.0,0.0,0.0,0.0,0.0,0.0,0.8664470889473369,0.006519790565561991,-8.315336852975605e-05,0.0,0.0,0.0,-0.19243192384641641,-0.0014480005272232675,-2.8533026164816695e-05,0.0,0.0,-0.0,0.34097297991877173,0.0016779197453309924,-0.002688856467523617,0.00010704971152968563,-0.02175375743761898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7899429914688345,0.020993600447470475,-0.00020341936036184956,0.0,0.0,0.0,1.548097076191367,0.012834927612359884,-0.012416442947111753,0.0021475735263460434,-0.25366077984650515,-0.000995537096406346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345331217956013,0.004022223686731299,-4.205827380809855e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5528764636667463,0.0267344777816313,-0.0002458255097028305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9119298914742099,0.006862036907655765,-8.640127415053326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.62238557180512,0.0,-1163.2729221904679,250.23838737728775,250.53028737728775,1.197839453401,0.008911868505586298,118.5390277777807,0.9998476951563913,0.0,0.01745240643728351,0.0,0.0,276.75,180.4311278060116,-40.51137344948137,-0.0,-1160.093950938131,202625.86621597665,0.0,0.0,0.0,3.0227254042929457,0.022725404292945586,0.022725404292945586
2e-05,92.43500684828743,10.352622451644022,0.07831189158965339,0.039830619950392804,0.017325113777694436,-1.6702580199522568,-0.0009969843007657277,1.1927830526888,0.0,0.0,0.0,0.0,0.0,-3.199739829506917,-3.361079964048656,0.0,0.0,0.0,0.0,0.0,0.0,0.8664694021214043,0.006529372312361592,-8.344015867482103e-05,0.0,0.0,0.0,-0.1924374964068272,-0.0014501332162712294,-2.8631410730221875e-05,0.0,0.0,-0.0,0.34096696839417473,0.0016803911168884657,-0.0026889754926605457,0.00010720738272525167,-0.0217533739079682,-3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,2.7900148394609396,0.02102445348820497,-0.00020412104591514393,0.0,0.0,0.0,1.5481388019012932,0.01285377058512046,-0.012416905007086946,0.0021507261605854607,-0.25366762833169215,-0.0009969843007657242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05562826915916866,0.0,0.0,0.0,0.5345486011300757,0.0040281478229756374,-4.220332950303362e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5529679590990524,0.026773767846909817,-0.0002466734958560357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9119533759439085,0.006872121633463674,-8.669926834910755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.62234654297041,0.0,-1163.2718045508718,250.23819452270772,250.5300945227077,1.1978385462829444,0.008912012193508314,118.53891388889181,0.9998476951563913,0.0,0.01745240643728351,4.077665095370161e-08,0.0,276.7500011676905,180.43175026660472,-40.509394092680736,-0.0,-1160.0372695754509,202629.1331738851,-1.3661895419373624e-05,0.0,-0.0001953742068265637,3.0227585084904227,0.022758508490422543,0.022758508490422543
3e-05,92.43716835168215,10.352749835691846,0.07836935036250392,0.06764327335577128,0.01733781277619528,-1.6702978847550898,-0.000997707889965671,1.1927830526220349,0.0,0.0,0.0,0.0,0.0,-3.1997392453035327,-3.361081250177613,0.0,0.0,0.0,0.0,0.0,0.0,0.8664805586435589,0.00653416327726514,-8.358373866870166e-05,0.0,0.0,0.0,-0.19244028306094219,-0.0014511995890730475,-2.8680666402164188e-05,0.0,0.0,-0.0,0.3409639645477872,0.0016816268355096336,-0.0026890350412689676,0.0001072862204183511,-0.02175318226537614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7900507632480833,0.02103988030321253,-0.00020447234135426672,0.0,0.0,0.0,1.5481596658177668,0.01286319221850631,-0.012417136150786759,0.0021523025020022527,-0.2536710527536605,-0.000997707889965671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08344240373875297,0.0,0.0,0.0,0.5345563418359506,0.004031109969647354,-4.227595088123029e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5530137065491685,0.026793413254761266,-0.00024709803602092573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9119651181104728,0.006877164092674723,-8.684845759869574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6223270285531,0.0,-1163.2712457310752,250.23809809541632,250.52999809541632,1.1978380927239167,0.008912084054484888,118.53885694444737,0.9998476951563913,0.0,0.01745240643728351,6.085775814162805e-08,0.0,276.75000174714484,180.4320614909238,-40.50840441433548,-0.0,-1160.0089288956874,202630.76703979596,-2.0492106945784127e-05,0.0,-0.0002930507823285072,3.022775060589161,0.022775060589161022,0.022775060589161022
8e-05,92.44797512298236,10.353386803930212,0.07865665518641599,0.20670652245612356,0.017401309166189347,-1.6704971695810928,-0.0010013257001700616,1.1927830522887732,0.0,0.0,0.0,0.0,0.0,-3.199736324284519,-3.3610876756459587,0.0,0.0,0.0,0.0,0.0,0.0,0.8665363424807453,0.006558119023874625,-8.430360489503995e-05,0.0,0.0,0.0,-0.19245422073953877,-0.0014565317395040256,-2.8927618810070947e-05,0.0,0.0,-0.0,0.34094895930759833,0.0016878057612631878,-0.0026893331718862304,0.00010768043010646158,-0.021752224945076334,-3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,2.790230386132829,0.021117017347368032,-0.0002062336315274358,0.0,0.0,0.0,1.5482640000759906,0.012910301860499854,-0.012418293100406081,0.0021601844528437953,-0.25368817732746757,-0.0010013257001700582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22251307663667463,0.0,0.0,0.0,0.5345950576098301,0.004045921498622293,-4.264005227900896e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5532424488286694,0.026891644075066532,-0.0002492265537819131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120238302340871,0.006902377359225498,-8.759644696531134e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.62222945646667,0.0,-1163.2684516320949,250.2376159589461,250.5295159589461,1.1978358249287777,0.008912443550869469,118.53857222222516,0.9998476951563913,0.0,0.01745240643728351,1.6092247770966305e-07,0.0,276.7500046395493,180.43361755227932,-40.50345602317612,-0.0,-1159.867225513105,202638.94072354105,-5.464234658836569e-05,0.0,-0.0007814219620437993,3.0228578210828534,0.02285782108285342,0.02285782108285342
8.888888888888889e-05,92.449896119307,10.353500050331867,0.07870773350826633,0.23142887477156104,0.017412597657850977,-1.670532590579532,-0.001001968842889639,1.1927830522298177,0.0,0.0,0.0,0.0,0.0,-3.199735804991885,-3.3610888170045596,0.0,0.0,0.0,0.0,0.0,0.0,0.866546259739539,0.006562377983856106,-8.443191908310444e-05,0.0,0.0,0.0,-0.19245669928887923,-0.001457479727208762,-2.8971637317210535e-05,0.0,0.0,-0.0,0.3409462943754817,0.0016889042948489731,-0.002689386239304527,0.0001077505155225199,-0.021752054924898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.790262319515743,0.021130731116740513,-0.00020654757706760706,0.0,0.0,0.0,1.5482825507719793,0.01291867716500286,-0.012418498991006699,0.002161585731025804,-0.253691222096804,-0.001001968842889639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24723675181852733,0.0,0.0,0.0,0.5346019424691091,0.004048554797802117,-4.270495235715205e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5532831146648203,0.026909107990487246,-0.00024960595679566995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120342680840735,0.006906859886737275,-8.772977403431932e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.622212110318,0.0,-1163.267954903388,250.23753024579355,250.52943024579355,1.1978354217651976,0.008912507493812505,118.5385216049412,0.9998476951563913,0.0,0.01745240643728351,1.7853431745686764e-07,0.0,276.7500051512324,180.43389417491912,-40.50257630929044,-0.0,-1159.8420338034582,202640.39456128373,-6.071307212244226e-05,0.0,-0.0008682373818427266,3.02287253405951,0.02287253405950985,0.02287253405950985
0.0001,92.45229727662878,10.353641611561606,0.07877158222087344,0.26233181385827603,0.01742670837598729,-1.6705768636805325,-0.001002772761260512,1.192783052156253,0.0,0.0,0.0,0.0,0.0,-3.199735155875937,-3.361090243300949,0.0,0.0,0.0,0.0,0.0,0.0,0.8665586563691483,0.006567701752005626,-8.459245529340642e-05,0.0,0.0,0.0,-0.19245979778957864,-0.0014586647330135265,-2.9026709634573444e-05,0.0,0.0,-0.0,0.34094296434198096,0.0016902774864226042,-0.0026894526017673514,0.00010783812386150111,-0.02175184247187298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7903022364250814,0.02114787354797079,-0.0002069403601939582,0.0,0.0,0.0,1.548305740153742,0.012929146404710554,-0.012418756443677414,0.0021633373467788717,-0.2536950282285569,-0.001002772761260512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27814134579584326,0.0,0.0,0.0,0.5346105494154964,0.00405184648059313,-4.278615002268912e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.553333947190117,0.026930938164305966,-0.0002500806350234398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120473154556192,0.006912463117878282,-8.789658195439537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.622190427632184,0.0,-1163.267333992505,250.23742310435176,250.52932310435176,1.1978349178107222,0.008912587436274872,118.53845833333627,0.9998476951563913,0.0,0.01745240643728351,2.0047116057425667e-07,0.0,276.7500057896968,180.4342399487658,-40.501476666975016,-0.0,-1159.8105441675932,202642.2121718745,-6.830129726506915e-05,0.0,-0.0009767540570882255,3.0228909252803304,0.022890925280330376,0.022890925280330376
0.0001,92.45229727662878,10.353641611561654,0.07877158222087381,0.262331813858276,0.017426708375987428,-1.670576863680541,-0.001002772761260512,1.1927830521562588,0.0,0.0,0.0,0.0,0.0,-3.199735155875937,-3.361090243300949,0.0,0.0,0.0,0.0,0.0,0.0,0.8665586563691524,0.006567701752005657,-8.459245529340671e-05,0.0,0.0,0.0,-0.19245979778957956,-0.0014586647330135335,-2.902670963457355e-05,0.0,0.0,-0.0,0.34094296434198257,0.0016902774864226123,-0.002689452601767362,0.0001078381238615016,-0.021751842471873083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7903022364250942,0.021147873547970892,-0.00020694036019395896,0.0,0.0,0.0,1.5483057401537492,0.01292914640471063,-0.012418756443677464,0.0021633373467789007,-0.25369502822855805,-0.001002772761260512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27814134579584326,0.0,0.0,0.0,0.5346105494154988,0.004051846480593149,-4.278615002268927e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5533339471901337,0.026930938164306095,-0.0002500806350234408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120473154556236,0.006912463117878315,-8.789658195439568e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.622190427632184,0.0,-1163.267333992505,250.23742310435176,250.52932310435176,1.1978349178107222,0.008912587436274867,118.53845833333627,0.9998476951563913,0.0,0.01745240643728351,2.0046918981604201e-07,0.0,276.7500057896454,180.4342399487658,-40.501476666975016,-0.0,-1159.8105441675932,202642.2121718753,-6.830129726508402e-05,0.0,-0.000976754057088438,3.0228909252803304,0.022890925280330376,0.022890925280330376
0.00012020000099999979,92.45666242054368,10.353898979977844,0.07888766149658018,0.3185133561214324,0.017452361955589486,-1.6706573439025445,-0.0010042342560473184,1.1927830520226455,0.0,0.0,0.0,0.0,0.0,-3.1997339757826433,-3.361092835215573,0.0,0.0,0.0,0.0,0.0,0.0,0.8665811936982591,0.006577380557374765,-8.488472451729912e-05,0.0,0.0,0.0,-0.19246543179209208,-0.001460819134135092,-2.9126973163594067e-05,0.0,0.0,-0.0,0.34093691329824677,0.001692774019047353,-0.0026895733303545608,0.0001079974003096432,-0.021751456420938182,-3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,2.7903748061921236,0.02117903911543577,-0.000207655454270465,0.0,0.0,0.0,1.548347901538982,0.012948179794120116,-0.012419224751975561,0.0021665218357137185,-0.25370194829474446,-0.001004234256047315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33432590042801646,0.0,0.0,0.0,0.534626199422478,0.004057830928153034,-4.293397697340966e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5534263617728112,0.02697062621938871,-0.0002509448259836098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120710358470342,0.006922649997195521,-8.820026934558283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.62215100850743,0.0,-1163.2662051764642,250.2372283211982,250.5291283211982,1.1978340016214408,0.00891273281200087,118.53834330555279,0.9998476951563913,0.0,0.01745240643728351,2.402741108867638e-07,0.0,276.7500069492878,180.43486855295217,-40.49947751726611,-0.0,-1159.7532960101785,202645.51750490422,-8.209650766446293e-05,0.0,-0.0011740347569510774,3.0229243605214373,0.022924360521437318,0.022924360521437318
0.00013030000149999966,92.45884473556826,10.354027667277277,0.07894570224399156,0.3466041255366763,0.017465188889937956,-1.6706975786668266,-0.0010049649899972792,1.1927830519563545,0.0,0.0,0.0,0.0,0.0,-3.199733385735784,-3.361094130542799,0.0,0.0,0.0,0.0,0.0,0.0,0.8665924622966039,0.006582220053398843,-8.503104766913854e-05,0.0,0.0,0.0,-0.19246824917431227,-0.0014618963636036334,-2.9177169556732246e-05,0.0,0.0,-0.0,0.3409338897290302,0.0016940223189341414,-0.002689633731355701,0.00010807704067573045,-0.021751263520048063,-3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,2.7904110908624475,0.02119462219971968,-0.0002080134628334329,0.0,0.0,0.0,1.5483689833135927,0.012957696638547015,-0.012419459021986563,0.002168114104925392,-0.25370540851067036,-0.0010049649899972757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362418177744103,0.0,0.0,0.0,0.5346340254842009,0.004060823232232316,-4.3007985809695645e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.553472568792661,0.02699047062966984,-0.0002513774792638533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120828959730553,0.006927743535093362,-8.835230895157469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.622131298945106,0.0,-1163.2656407684453,250.23713092962004,250.52903092962003,1.1978335435268,0.0089128055171967,118.53828579166105,0.9998476951563913,0.0,0.01745240643728351,2.598631104705993e-07,0.0,276.7500075246268,180.43518284894924,-40.49847794246781,-0.0,-1159.724671933079,202647.17056559035,-8.89933618765861e-05,0.0,-0.0012726643672598488,3.022941078141991,0.022941078141990787,0.022941078141990787
0.00018080000399999912,92.46975554935875,10.354671152721135,0.07923591716069851,0.4870579543260176,0.017529324971724134,-1.67089871255659,-0.0010086185190918695,1.1927830516254792,0.0,0.0,0.0,0.0,0.0,-3.1997304354993505,-3.3611006019046843,0.0,0.0,0.0,0.0,0.0,0.0,0.866648806539287,0.006606418474163153,-8.576466932718642e-05,0.0,0.0,0.0,-0.19248234057976768,-0.0014672828037855217,-2.942883915013233e-05,0.0,0.0,-0.0,0.34091878614524335,0.0017002641584724786,-0.002689936131357501,0.00010847526420450938,-0.02175029992551862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.790592518242132,0.02127254064999461,-0.00020980841570565766,0.0,0.0,0.0,1.548474407155839,0.013005282362981877,-0.012420631627195745,0.0021760756992233892,-0.25372271210348346,-0.0010086185190918695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502879564324536,0.0,0.0,0.0,0.5346731682771325,0.004075785566070895,-4.337904454813256e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5537036090214817,0.027089696538196893,-0.00025354667994124036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9121421979197876,0.006953212214604138,-8.911459129269272e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.62203275113357,0.0,-1163.262818728354,250.23664397171552,250.52854397171552,1.1978312530535964,0.008913169238385277,118.53799822220238,0.9998476951563913,0.0,0.01745240643728351,3.5745925327959866e-07,0.0,276.7500103963216,180.43675426749613,-40.49348006905459,-0.0,-1159.5815515641423,202655.44030751547,-0.00012347679849827577,0.0,-0.0017658004857711094,3.023024666244758,0.023024666244758133,0.023024666244758133
