Time(s),AOA(deg),AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),AirDensity(kg/m^3),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),Auto-AddedZeroLengthBoatTailFX(N),Auto-AddedZeroLengthBoatTailFY(N),Auto-AddedZeroLengthBoatTailFZ(N),Auto-AddedZeroLengthBoatTailMX(Nm),Auto-AddedZeroLengthBoatTailMY(Nm),Auto-AddedZeroLengthBoatTailMZ(Nm),CGX(m),CGY(m),CGZ(m),CPZ(m),FirstStage.AvionicsBayFX(N),FirstStage.AvionicsBayFY(N),FirstStage.AvionicsBayFZ(N),FirstStage.AvionicsBayMX(Nm),FirstStage.AvionicsBayMY(Nm),FirstStage.AvionicsBayMZ(Nm),FirstStage.AvionicsTubeFX(N),FirstStage.AvionicsTubeFY(N),FirstStage.AvionicsTubeFZ(N),FirstStage.AvionicsTubeMX(Nm),FirstStage.AvionicsTubeMY(Nm),FirstStage.AvionicsTubeMZ(Nm),FirstStage.FinCanFX(N),FirstStage.FinCanFY(N),FirstStage.FinCanFZ(N),FirstStage.FinCanMX(Nm),FirstStage.FinCanMY(Nm),FirstStage.FinCanMZ(Nm),FirstStage.FinsFX(N),FirstStage.FinsFY(N),FirstStage.FinsFZ(N),FirstStage.FinsMX(Nm),FirstStage.FinsMY(Nm),FirstStage.FinsMZ(Nm),FirstStage.LowerTransitionFX(N),FirstStage.LowerTransitionFY(N),FirstStage.LowerTransitionFZ(N),FirstStage.LowerTransitionMX(Nm),FirstStage.LowerTransitionMY(Nm),FirstStage.LowerTransitionMZ(Nm),FirstStage.MotorAssemblyFX(N),FirstStage.MotorAssemblyFY(N),FirstStage.MotorAssemblyFZ(N),FirstStage.MotorAssemblyMX(Nm),FirstStage.MotorAssemblyMY(Nm),FirstStage.MotorAssemblyMZ(Nm),FirstStage.MotorFX(N),FirstStage.MotorFY(N),FirstStage.MotorFZ(N),FirstStage.MotorMX(Nm),FirstStage.MotorMY(Nm),FirstStage.MotorMZ(Nm),FirstStage.NoseConeShellFX(N),FirstStage.NoseConeShellFY(N),FirstStage.NoseConeShellFZ(N),FirstStage.NoseConeShellMX(Nm),FirstStage.NoseConeShellMY(Nm),FirstStage.NoseConeShellMZ(Nm),FirstStage.NoseConeTubeFX(N),FirstStage.NoseConeTubeFY(N),FirstStage.NoseConeTubeFZ(N),FirstStage.NoseConeTubeMX(Nm),FirstStage.NoseConeTubeMY(Nm),FirstStage.NoseConeTubeMZ(Nm),FirstStage.PVTubeFX(N),FirstStage.PVTubeFY(N),FirstStage.PVTubeFZ(N),FirstStage.PVTubeMX(Nm),FirstStage.PVTubeMY(Nm),FirstStage.PVTubeMZ(Nm),FirstStage.PayloadFX(N),FirstStage.PayloadFY(N),FirstStage.PayloadFZ(N),FirstStage.PayloadMX(Nm),FirstStage.PayloadMY(Nm),FirstStage.PayloadMZ(Nm),FirstStage.RecoverySystemFX(N),FirstStage.RecoverySystemFY(N),FirstStage.RecoverySystemFZ(N),FirstStage.RecoverySystemMX(Nm),FirstStage.RecoverySystemMY(Nm),FirstStage.RecoverySystemMZ(Nm),FirstStage.RecoveryTubeFX(N),FirstStage.RecoveryTubeFY(N),FirstStage.RecoveryTubeFZ(N),FirstStage.RecoveryTubeMX(Nm),FirstStage.RecoveryTubeMY(Nm),FirstStage.RecoveryTubeMZ(Nm),FirstStage.UpperCasingFX(N),FirstStage.UpperCasingFY(N),FirstStage.UpperCasingFZ(N),FirstStage.UpperCasingMX(Nm),FirstStage.UpperCasingMY(Nm),FirstStage.UpperCasingMZ(Nm),FirstStage.UpperTransitionFX(N),FirstStage.UpperTransitionFY(N),FirstStage.UpperTransitionFZ(N),FirstStage.UpperTransitionMX(Nm),FirstStage.UpperTransitionMY(Nm),FirstStage.UpperTransitionMZ(Nm),FirstStage.intermediateTubeFX(N),FirstStage.intermediateTubeFY(N),FirstStage.intermediateTubeFZ(N),FirstStage.intermediateTubeMX(Nm),FirstStage.intermediateTubeMY(Nm),FirstStage.intermediateTubeMZ(Nm),GravityFX(N),GravityFY(N),GravityFZ(N),MOIX(kg*m^2),MOIY(kg*m^2),MOIZ(kg*m^2),Mach,Mass(kg),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),RollAngle(deg),TotalFX(N),TotalFY(N),TotalFZ(N),UnitRe,VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s),WindX(m/s),WindY(m/s),WindZ(m/s)
0,92.33654177386508,2.973650426717822,2.960481908549831,2766.122721073406,-0.1278368524006035,0.09839577369509034,-0.009554792883007736,1.1233853149578374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.947341740377068,-2.909228977390076,0.0,0.0,0.0,0.0,0.0,0.0,0.3114902685345486,0.3120048598657983,-4.018272664664692e-05,0.0,0.0,0.0,0.513878596691805,0.5147275396537038,-5.995848339995126e-05,0.0,0.0,0.0,0.4832154114645029,0.4659326194351831,-0.0075253712573302,0.05423133032995657,-0.055489099355695445,-0.009554792883007736,0.03933795752981503,0.03940294502373948,-1.05996130437508e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2766.130618,0.0,0.0,0.0,0.11697414309748266,0.11716738791473333,-7.274918714426024e-05,0.0,0.0,-0.0,0.12781842053659068,0.12802958042768967,-2.099298679656019e-05,0.0,0.0,0.0,0.8357874662187782,0.8371682123554287,-8.380110564681555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3273870132735532,0.3279278665072253,-4.170162077225867e-05,0.0,0.0,0.0,0.030692532494395616,0.030743237485052376,-7.987039864519783e-06,0.0,0.0,0.0,-0.014164837640710784,-0.014188238380299732,-4.464708872655857e-06,0.0,0.0,-0.0,0.20123345451706096,0.20156589826157692,-2.9117864654507426e-05,0.0,0.0,0.0,40.74499244945385,0.0,-777.4607702684826,27.05300823445945,27.167490094459453,0.8626125869730001,0.008442520164599572,79.30000002367554,0.9996573249755574,0.0,0.026176948307873156,0.0,0.0,893.0,225.04728810766446,104.05563648826268,0.0,1985.4998229610994,181499.84489998093,0.0,0.0,0.0,2.0107128583204985,2.0107128583204985,0.010712858320498468
0.002,91.36069834208311,2.9722313670441807,2.9629536141199373,2770.147955956035,-0.12880075163759208,0.09902803995008869,-0.009570621926983205,1.1233853503816154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.947660202483379,-2.909282006073277,0.0,0.0,0.0,0.0,0.0,0.0,0.31134443732104555,0.31227935493551257,-1.4905814826794712e-05,0.0,0.0,0.0,0.5136380128055045,0.5151803857149537,-2.224152363405655e-05,0.0,0.0,0.0,0.4830403888138578,0.4662879929785545,-0.007508215382987216,0.05427229188746649,-0.05546962590032851,-0.009570621926983205,0.03929793166567155,0.039415937077435084,-3.9320814372434164e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2770.155602,0.0,0.0,0.0,0.11685512341639286,0.11720602068683308,-2.6986467951844712e-05,0.0,0.0,-0.0,0.12775857945242905,0.12814221805974482,-7.787479262846184e-06,0.0,0.0,0.0,0.8353961734153056,0.8379047346868819,-3.108566831104251e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327233739639499,0.3282163702908422,-1.5469238692907718e-05,0.0,0.0,0.0,0.030678163091203026,0.03077028471476646,-2.9629407781988354e-06,0.0,0.0,0.0,-0.01415042510120382,-0.01419291656754619,-1.6559986156079952e-06,0.0,0.0,-0.0,0.2011392425244755,0.20174323154195958,-1.0801368083661838e-05,0.0,0.0,0.0,40.65864062179076,0.0,-775.8130792416082,26.82209480346962,26.93657666346962,0.8614785869730001,0.00843875410550377,79.13193764717553,0.9996573249755574,0.0,0.026176948307873156,-1.687188837935294e-05,0.0,892.9996780651917,225.08589600659235,104.35188719298627,0.0,1991.1526231517662,181418.8863684799,0.005241514846095382,0.0,0.04986968253796986,2.012273405155278,2.012273405155278,0.012273405155278213
0.003,90.86687198214243,2.9714774439908465,2.964190676965814,2770.8480300733586,-0.1293163307080114,0.09941516865692057,-0.009570818951940011,1.123385354778108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9478164889581784,-2.909287642218042,0.0,0.0,0.0,0.0,0.0,0.0,0.3112681407560011,0.31241553056659094,-7.2687423168525015e-06,0.0,0.0,0.0,0.5135121431532619,0.5154050403808326,-1.0845946011551784e-05,0.0,0.0,0.0,0.48292024198128464,0.46646020984238445,-0.007502715278854143,0.05429202159384001,-0.05545614274398025,-0.009570818951940011,0.039281718643020117,0.03942651805488406,-1.9174779548502967e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2770.8556,0.0,0.0,0.0,0.11680691286986834,0.11723748395660988,-1.3159822191520525e-05,0.0,0.0,-0.0,0.1277272715516005,0.12819809702560112,-3.797538213204382e-06,0.0,0.0,0.0,0.8351914552612532,0.8382701197314778,-1.5158708221021805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32715354931872126,0.328359495574817,-7.54349155456844e-06,0.0,0.0,0.0,0.030670645248630116,0.030783702710139093,-1.4448810114225707e-06,0.0,0.0,0.0,-0.014144587105335612,-0.014196726572870723,-8.075144234393778e-07,0.0,0.0,-0.0,0.20108995231254073,0.2018312056953476,-5.26723990073015e-06,0.0,0.0,0.0,40.61546503948617,0.0,-774.9892400540821,26.706957525619753,26.821439385619755,0.8609125869730001,0.008437747605667217,79.04790710717553,0.9996573249755574,0.0,0.026176948307873156,-1.3052980803905647e-05,0.0,892.999638109437,225.10540683115482,104.43141302572742,0.0,1992.6700664365053,181397.2489938083,0.007891619652211915,0.0,0.07508374550524945,2.013053678572668,2.013053678572668,0.013053678572668084
0.008,88.4034412223127,2.9676193986671366,2.9705150259800672,2785.0228634810737,-0.1322451544487393,0.1020963447838873,-0.009494024869501105,1.1233853608229616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9485682206911843,-2.9091019290436377,0.0,0.0,0.0,0.0,0.0,0.0,0.3108903509291145,0.3130982230112776,-1.900913195072509e-05,0.0,0.0,0.0,0.5128888873867229,0.5165313068195828,-2.836437885474895e-05,0.0,0.0,0.0,0.4820437619075762,0.4672874002150409,-0.007507748286926613,0.05438558549936741,-0.055357030335744496,-0.009494024869501105,0.03924478672016959,0.03952349420887407,-5.0143485916028945e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2785.030547,0.0,0.0,0.0,0.11669709323764395,0.11752584927159279,-3.441527046121656e-05,0.0,0.0,-0.0,0.12757224745022286,0.12847823633911049,-9.931109140716198e-06,0.0,0.0,0.0,0.8341777735059216,0.8401019130367255,-3.9643504644318344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326756479183428,0.32907702887530155,-1.9727669586131407e-05,0.0,0.0,0.0,0.030633419923446373,0.03085097145705952,-3.7784252026011675e-06,0.0,0.0,0.0,-0.014131288634245944,-0.014231645810231936,-2.1120832993331213e-06,0.0,0.0,-0.0,0.20084588705713657,0.202272248555734,-1.3774717469514866e-05,0.0,0.0,0.0,40.399591794058004,0.0,-770.8701331508438,26.13442020184177,26.248902061841772,0.858079586973,0.008442140456734465,78.62776349217553,0.9996573249755574,0.0,0.026176948307873156,2.072548645641151e-05,0.0,892.9995831732127,225.2027300328526,105.38692990413371,0.0,2010.902414600807,181491.68874622387,0.021113863393251275,0.0,0.20088499136006122,2.0169550456596173,2.0169550456596173,0.016955045659617442
0.008888888888888889,87.98354785740224,2.967018878983928,2.9716969532544493,2793.656064632136,-0.13281951489465693,0.10269123109280831,-0.009468511919620573,1.123385352846404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.948696623460013,-2.909035804641851,0.0,0.0,0.0,0.0,0.0,0.0,0.3108338634229954,0.3132232585967359,-2.9054217346852535e-05,0.0,0.0,0.0,0.5127956975721204,0.5167375832836729,-4.335325693599306e-05,0.0,0.0,0.0,0.4818620849391353,0.4674366368833314,-0.007514158147422371,0.05440229668300234,-0.05533642523961675,-0.009468511919620573,0.03924672662241708,0.03954841813744067,-7.663921170534653e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2793.6638474444444,0.0,0.0,0.0,0.11670286167142505,0.11759996230057991,-5.260137125776833e-05,0.0,0.0,-0.0,0.1275490680942636,0.1285295440448675,-1.5178909461974064e-05,0.0,0.0,0.0,0.8340262068138561,0.8404374072261557,-6.059303412169957e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3266971088666517,0.32920844558719,-3.0152469158798957e-05,0.0,0.0,0.0,0.0306278539562486,0.030863291773799064,-5.774898623923602e-06,0.0,0.0,0.0,-0.014131987155524118,-0.014240620434835842,-3.2284177867594847e-06,0.0,0.0,-0.0,0.20080939418033855,0.202353025855512,-2.1053665437576664e-05,0.0,0.0,0.0,40.36122060658287,0.0,-770.1379672777601,26.03319515568472,26.147677015684717,0.8575755869730001,0.008444560369515321,78.55308351528664,0.9996573249755574,0.0,0.026176948307873156,3.509423337213702e-05,0.0,892.9996556649559,225.2193734919997,105.8762968700747,0.0,2020.240092568386,181543.7115591513,0.023373272577920403,0.0,0.2223818337942206,2.0176486220306304,2.0176486220306304,0.017648622030630664
0.01,87.42851599043735,2.9660821088403253,2.9731273284154285,2806.372518489797,-0.1335674481335154,0.10349503362141088,-0.009428988950344821,1.1233853410681118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9488548807813313,-2.9089341096438366,0.0,0.0,0.0,0.0,0.0,0.0,0.3107448313344951,0.31337344029854575,-4.5830011192512025e-05,0.0,0.0,0.0,0.5126488175912007,0.5169853443535064,-6.83856358439723e-05,0.0,0.0,0.0,0.4815821095844588,0.4676107962660575,-0.007524735643908707,0.05442161451221525,-0.05530461036688611,-0.009428988950344821,0.039250713750331956,0.039582737866602616,-1.2088598193792991e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.380467,0.0,0.0,0.0,0.11671471767261443,0.11770201439382887,-8.297290488333815e-05,0.0,0.0,-0.0,0.12751253423725833,0.1285911703294033,-2.3942810092413786e-05,0.0,0.0,0.0,0.8337873168350137,0.840840373214848,-9.558048508600954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3266035330715659,0.32936629173447163,-4.7562422981764065e-05,0.0,0.0,0.0,0.030619081225459307,0.03087808985010671,-9.108874946140331e-06,0.0,0.0,0.0,-0.014133422843168148,-0.01425297830550271,-5.093063361852092e-06,0.0,0.0,-0.0,0.20075187638109537,0.2024500484135605,-3.320975185256799e-05,0.0,0.0,0.0,40.31326128689843,0.0,-769.222848943411,25.906904678667264,26.021386538667265,0.8569465869730001,0.00844825841357891,78.45974262317554,0.9996573249755574,0.0,0.026176948307873156,5.467321532020932e-05,0.0,892.9997627072357,225.24131212938528,106.5886065877031,0.0,2033.8317716544504,181623.21144984526,0.026356193636170352,0.0,0.2507624318805861,2.0185155924943974,2.0185155924943974,0.018515592494397187
0.01,87.39208888573239,2.96586637431325,2.973058540040819,2806.3725066031016,-0.13357919103756066,0.10351348047341324,-0.009425733708367067,1.1233853429470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9488548807813313,-2.9089269919149503,0.0,0.0,0.0,0.0,0.0,0.0,0.31072282928689393,0.3133660861871474,-4.7067121052043425e-05,0.0,0.0,0.0,0.5126125198879087,0.5169732119666326,-7.023160434668168e-05,0.0,0.0,0.0,0.4815382099072657,0.4675966933169613,-0.007525183198561244,0.05441991385135075,-0.05529958895861034,-0.009425733708367067,0.039249063252964254,0.03958294717616995,-1.2414905618933069e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.380467,0.0,0.0,0.0,0.1167098098043011,0.11770263679033392,-8.521262569889504e-05,0.0,0.0,-0.0,0.1275035058108289,0.12858815260782946,-2.4589104744603885e-05,0.0,0.0,0.0,0.8337282811684977,0.840820640739221,-9.816054728735397e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32658040816084577,0.3293585623098018,-4.8846297019183086e-05,0.0,0.0,0.0,0.03061691326507929,0.030877365216543926,-9.354749547187144e-06,0.0,0.0,0.0,-0.01413282853098958,-0.01425305367382949,-5.230549748513978e-06,0.0,0.0,-0.0,0.2007376622996537,0.20244529740400713,-3.410619472213067e-05,0.0,0.0,0.0,40.3132612871145,0.0,-769.2228489475336,25.906904678667264,26.021386538667265,0.8569465869730001,0.008448303071335702,78.45974262317554,0.9996573249755574,0.0,0.026176948307873156,5.28886082394839e-05,0.0,892.9997456311884,225.24266824041987,106.58860537533104,0.0,2033.8317485210134,181624.17179950682,0.026545434998855227,0.0,0.2525629431749843,2.0185155924943974,2.0185155924943974,0.018515592494397187
0.012019904296735023,86.37345446290813,2.9640858705640825,2.975677346733066,2829.828139721601,-0.13500794806493865,0.1051251827572075,-0.009337031354314696,1.1233852901894346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.949136220477159,-2.9086984919585035,0.0,0.0,0.0,0.0,0.0,0.0,0.31055433478574473,0.31363699523217553,-8.854434606195384e-05,0.0,0.0,0.0,0.5123345474228035,0.5174201420121364,-0.00013212393522442706,0.0,0.0,0.0,0.48096756013926895,0.46791081942010143,-0.007551960031917873,0.05445445063146434,-0.05523466534467362,-0.009337031354314696,0.03926578001831223,0.03965554455675994,-2.335331327099003e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829.8365104235427,0.0,0.0,0.0,0.11675951826464656,0.11791851013300046,-0.00016030365222567986,0.0,0.0,-0.0,0.1274343649638056,0.12869931873320306,-4.625630601541414e-05,0.0,0.0,0.0,0.8332761784660608,0.8415475410863329,-0.00018466899228779528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3264033146299828,0.3296432970578176,-9.189155119058183e-05,0.0,0.0,0.0,0.030600310746560888,0.030904059099170395,-1.7596502129052224e-05,0.0,0.0,0.0,-0.014138847914859538,-0.014279194586418019,-9.84254044923414e-06,0.0,0.0,-0.0,0.20062880904175612,0.20262031398878647,-6.416077122760863e-05,0.0,0.0,0.0,40.226070143353574,0.0,-767.5591428154723,25.677950015455398,25.7924318754554,0.855802321141048,0.008457194720570946,78.29004674630761,0.9996573249755574,0.0,0.026176948307873156,3.868012467663886e-05,0.0,893.0002250977068,225.28296131140786,107.90120464241384,0.0,2058.8776345524325,181815.31918644288,0.03202604748353167,0.0,0.3047074877865584,2.0200916701228113,2.0200916701228113,0.02009167012281111
0.013029856445102534,85.84784101353692,2.9630915860421907,2.9769761608942438,2839.0314697845065,-0.13575703085030666,0.10600588228549479,-0.009283702110789008,1.123385263753583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9492738099655984,-2.908561962256329,0.0,0.0,0.0,0.0,0.0,0.0,0.31045973829506124,0.31376904632239533,-0.00011504736780226332,0.0,0.0,0.0,0.5121784876135737,0.5176379922494907,-0.00017167256875610563,0.0,0.0,0.0,0.48064115265939383,0.4680643473925051,-0.007569236539164879,0.054471140877983354,-0.05519748974512266,-0.009283702110789008,0.03927830933638829,0.039696991723678986,-3.0341751120626213e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2839.0401028300466,0.0,0.0,0.0,0.11679677506031091,0.11804175615639907,-0.00020828449795778773,0.0,0.0,-0.0,0.12739554778314582,0.12875350521505188,-6.0100417035261824e-05,0.0,0.0,0.0,0.8330223581408431,0.841901859205565,-0.00023994871176114978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32630389045632635,0.3297820873071245,-0.00011939658166209729,0.0,0.0,0.0,0.030590989730280606,0.030917070685042923,-2.286186736648565e-05,0.0,0.0,0.0,-0.014143359479959521,-0.014294118909563946,-1.2790739671093561e-05,0.0,0.0,-0.0,0.20056769644682662,0.2027056235465544,-8.336449805887136e-05,0.0,0.0,0.0,40.18246872792812,0.0,-766.7271782479606,25.563768553740086,25.678250413740084,0.8552306285121818,0.008462732914227177,78.20518743485937,0.9996573249755574,0.0,0.026176948307873156,7.095696111173058e-05,0.0,893.0004653493597,225.30374697777532,108.42556945553648,0.0,2068.8831112258604,181934.376943065,0.03485581078764839,0.0,0.33163088718111,2.0208797089370183,2.0208797089370183,0.02087970893701807
0.018079617186940095,83.2361523627913,2.958205383266576,2.9837462768681986,2888.9376819802637,-0.1397046150813479,0.11092047937476435,-0.008953842700866124,1.1233851125846963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9499306327756303,-2.9077316716000703,0.0,0.0,0.0,0.0,0.0,0.0,0.309989503916821,0.31443078000496116,-0.0002971148291270633,0.0,0.0,0.0,0.5114027221826241,0.5187296821368841,-0.0004433768761151175,0.0,0.0,0.0,0.4788962805248745,0.4689156609978798,-0.007691832478955756,0.05456291354797357,-0.054998589741937005,-0.008953842700866124,0.03939003236709417,0.03995438053583083,-7.832940643880191e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2888.9481211801267,0.0,0.0,0.0,0.11712899123526535,0.11880711962809233,-0.0005378839552471992,0.0,0.0,-0.0,0.12720258953828173,0.12902504420893235,-0.00015518899880626836,0.0,0.0,0.0,0.8317606301216426,0.8436774161771049,-0.0006197624856614589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3258096579098174,0.330477592225904,-0.0003083491061300237,0.0,0.0,0.0,0.030544655429045383,0.030982274271178504,-5.901319916424473e-05,0.0,0.0,0.0,-0.014183588782395411,-0.0143867996424643,-3.3070737528527264e-05,0.0,0.0,-0.0,0.20026390882350487,0.2031331263238947,-0.0002152777895739156,0.0,0.0,0.0,39.96441296106465,0.0,-762.5664263548916,24.995801259769152,25.110283119769154,0.852368444028005,0.008501030357345148,77.78079611917055,0.9996573249755574,0.0,0.026176948307873156,0.0002499341968958323,0.0,893.0018391873114,225.40751732617426,111.25072714069444,0.0,2122.7903311807454,182757.68392275946,0.04898534434411558,0.0,0.46606441900550644,2.0248199030080527,2.0248199030080527,0.02481990300805288
