Time(s),AOA(deg),AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),AirDensity(kg/m^3),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),Auto-AddedZeroLengthBoatTailFX(N),Auto-AddedZeroLengthBoatTailFY(N),Auto-AddedZeroLengthBoatTailFZ(N),Auto-AddedZeroLengthBoatTailMX(Nm),Auto-AddedZeroLengthBoatTailMY(Nm),Auto-AddedZeroLengthBoatTailMZ(Nm),CGX(m),CGY(m),CGZ(m),CPZ(m),FirstStage.AvionicsBayFX(N),FirstStage.AvionicsBayFY(N),FirstStage.AvionicsBayFZ(N),FirstStage.AvionicsBayMX(Nm),FirstStage.AvionicsBayMY(Nm),FirstStage.AvionicsBayMZ(Nm),FirstStage.AvionicsTubeFX(N),FirstStage.AvionicsTubeFY(N),FirstStage.AvionicsTubeFZ(N),FirstStage.AvionicsTubeMX(Nm),FirstStage.AvionicsTubeMY(Nm),FirstStage.AvionicsTubeMZ(Nm),FirstStage.FinCanFX(N),FirstStage.FinCanFY(N),FirstStage.FinCanFZ(N),FirstStage.FinCanMX(Nm),FirstStage.FinCanMY(Nm),FirstStage.FinCanMZ(Nm),FirstStage.FinsFX(N),FirstStage.FinsFY(N),FirstStage.FinsFZ(N),FirstStage.FinsMX(Nm),FirstStage.FinsMY(Nm),FirstStage.FinsMZ(Nm),FirstStage.MotorAssemblyFX(N),FirstStage.MotorAssemblyFY(N),FirstStage.MotorAssemblyFZ(N),FirstStage.MotorAssemblyMX(Nm),FirstStage.MotorAssemblyMY(Nm),FirstStage.MotorAssemblyMZ(Nm),FirstStage.MotorFX(N),FirstStage.MotorFY(N),FirstStage.MotorFZ(N),FirstStage.MotorMX(Nm),FirstStage.MotorMY(Nm),FirstStage.MotorMZ(Nm),FirstStage.NoseConeShellFX(N),FirstStage.NoseConeShellFY(N),FirstStage.NoseConeShellFZ(N),FirstStage.NoseConeShellMX(Nm),FirstStage.NoseConeShellMY(Nm),FirstStage.NoseConeShellMZ(Nm),FirstStage.NoseConeTubeFX(N),FirstStage.NoseConeTubeFY(N),FirstStage.NoseConeTubeFZ(N),FirstStage.NoseConeTubeMX(Nm),FirstStage.NoseConeTubeMY(Nm),FirstStage.NoseConeTubeMZ(Nm),FirstStage.PVTubeFX(N),FirstStage.PVTubeFY(N),FirstStage.PVTubeFZ(N),FirstStage.PVTubeMX(Nm),FirstStage.PVTubeMY(Nm),FirstStage.PVTubeMZ(Nm),FirstStage.PayloadFX(N),FirstStage.PayloadFY(N),FirstStage.PayloadFZ(N),FirstStage.PayloadMX(Nm),FirstStage.PayloadMY(Nm),FirstStage.PayloadMZ(Nm),FirstStage.RecoverySystemFX(N),FirstStage.RecoverySystemFY(N),FirstStage.RecoverySystemFZ(N),FirstStage.RecoverySystemMX(Nm),FirstStage.RecoverySystemMY(Nm),FirstStage.RecoverySystemMZ(Nm),FirstStage.RecoveryTubeFX(N),FirstStage.RecoveryTubeFY(N),FirstStage.RecoveryTubeFZ(N),FirstStage.RecoveryTubeMX(Nm),FirstStage.RecoveryTubeMY(Nm),FirstStage.RecoveryTubeMZ(Nm),FirstStage.UpperCasingFX(N),FirstStage.UpperCasingFY(N),FirstStage.UpperCasingFZ(N),FirstStage.UpperCasingMX(Nm),FirstStage.UpperCasingMY(Nm),FirstStage.UpperCasingMZ(Nm),FirstStage.intermediateTubeFX(N),FirstStage.intermediateTubeFY(N),FirstStage.intermediateTubeFZ(N),FirstStage.intermediateTubeMX(Nm),FirstStage.intermediateTubeMY(Nm),FirstStage.intermediateTubeMZ(Nm),GravityFX(N),GravityFY(N),GravityFZ(N),MOIX(kg*m^2),MOIY(kg*m^2),MOIZ(kg*m^2),Mach,Mass(kg),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),RollAngle(deg),TotalFX(N),TotalFY(N),TotalFZ(N),UnitRe,VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s),WindX(m/s),WindY(m/s),WindZ(m/s)
0,93.21616883593049,4.502413353945279,0.017292023756370876,-0.007813334124470127,-0.00410960496939437,1.1753152696254463,-0.0001546763306984611,1.1233853149578374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7260832618810484,-2.4650424323530156,0.0,0.0,0.0,0.0,0.0,0.0,0.5442456614395047,0.0020568139759842815,-9.134551373711014e-05,0.0,0.0,0.0,0.8144917829818792,0.00307812850199027,-0.00012373236717365223,0.0,0.0,0.0,0.7229726531481647,0.003008756096978784,-0.007077609598781086,0.000352926634927427,-0.08280516045899863,-0.0001546763306984611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22546961386771538,0.0008520950846650787,-0.00014995112574412236,0.0,0.0,-0.0,0.22332839210793465,0.0008440029763521708,-4.763345843438807e-05,0.0,0.0,0.0,0.9946558640101291,0.003759004852660929,-0.0001440734173278562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5720209572646932,0.0021617824133793413,-9.480704949529874e-05,0.0,0.0,0.0,0.05362696474356498,0.0002026671012543133,-1.804613482952661e-05,0.0,0.0,0.0,0.35160146438169376,0.0013287727531057076,-6.613545894708731e-05,0.0,0.0,0.0,30.250071516654707,0.0,-577.2057494228422,9.520311727902314,9.634793587902315,0.651780674238625,0.008940734981593626,58.87424509803929,0.9996573249755574,0.0,0.026176948307873156,0.0,0.0,893.0,180.21653126038177,-30.072434471949684,-0.0,-573.8162326920217,192210.61730541263,0.0,0.0,0.0,3.0113627021464726,0.011362702146472793,0.011362702146472793
0.002,93.61622940377073,4.510379602975552,0.01982778299386871,-1.9217730904289108,-0.004713937296395489,1.1774054384463655,-0.00017699574389736655,1.1233853126747186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.726062476909588,-2.4650193915690672,0.0,0.0,0.0,0.0,0.0,0.0,0.5451841652400943,0.0023584644469590407,-0.00011543128438137975,0.0,0.0,0.0,0.8158963024627619,0.0035295640344145643,-0.0001563602930824635,0.0,0.0,0.0,0.7243274287442018,0.0034493369263380452,-0.007101166533613368,0.0004046023141947414,-0.08296092450641052,-0.00017699574389736655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9137422074524868,0.0,0.0,0.0,0.2259525765785993,0.000977469912987534,-0.00018948793561172222,0.0,0.0,-0.0,0.22371350228817663,0.0009677836868556064,-6.019085193833965e-05,0.0,0.0,0.0,0.9963710606112068,0.0043102970927182465,-0.00018206655102871215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5730073571213129,0.0024788274601141914,-0.0001198057934042994,0.0,0.0,0.0,0.05371943973012309,0.0002323900743857055,-2.2801421082979748e-05,0.0,0.0,0.0,0.3522077701990747,0.00152364935909578,-8.357231228073684e-05,0.0,0.0,0.0,30.248328598352813,0.0,-577.1724925604883,9.519860696972193,9.634342556972193,0.651771756218795,0.00895218094396794,58.870852941176544,0.9996573249755574,0.0,0.026176948307873156,1.087420310210635e-06,0.0,893.0000207492155,180.24785975935347,-30.17071091760508,-0.0,-575.6914589847564,192456.68569151816,-0.0020403639109530204,0.0,-0.01941276586804999,3.0130179120203207,0.013017912020320732,0.013017912020320732
0.003,93.81724807879253,4.514387179022683,0.021097286104897906,5.254642241136965,-0.005016750469736856,1.178461535487436,-0.00018811775811405224,1.1233853163375365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7260520791581877,-2.4650068484252188,0.0,0.0,0.0,0.0,0.0,0.0,0.5456551692777835,0.002509487074310086,-0.00012868395358790668,0.0,0.0,0.0,0.8166011843674414,0.0037555772077606116,-0.00017431344139347884,0.0,0.0,0.0,0.7250125521172955,0.003669820589407454,-0.0071135895170149135,0.00043046226536917363,-0.08303971726496055,-0.00018811775811405224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.262792286604998,0.0,0.0,0.0,0.22619933228273106,0.001040298585152976,-0.00021124192892059917,0.0,0.0,-0.0,0.2239067763588146,0.001029755040837587,-6.709993608327291e-05,0.0,0.0,0.0,0.9972318610938801,0.004586303963394295,-0.00020297202927894992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5735023986064428,0.002637557449136946,-0.0001335608402706794,0.0,0.0,0.0,0.05376584986935402,0.00024727101085658866,-2.5417483679981552e-05,0.0,0.0,0.0,0.3525120550489404,0.0016212151840413606,-9.316633780241727e-05,0.0,0.0,0.0,30.247457139616408,0.0,-577.1558641372213,9.519634918647377,9.634116778647378,0.65176729720888,0.008958094007957227,58.86915686274517,0.9996573249755574,0.0,0.026176948307873156,-2.958846398911448e-06,0.0,892.9999874611652,180.26350342209676,-29.794763422660857,-0.0,-568.5179534463167,192583.80711084392,-0.003068179938159513,0.0,-0.029191782142783725,3.013845516957245,0.0138455169572447,0.0138455169572447
0.008,94.72776797164786,4.533725708342595,0.02745862368883276,-9.099047998955992,-0.006536158117974833,1.183567796077359,-0.0002434235443593627,1.1233853402742466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7260000377323506,-2.4649423461724846,0.0,0.0,0.0,0.0,0.0,0.0,0.5479221323334258,0.0032662758755885772,-0.0001986178021585163,0.0,0.0,0.0,0.8199938118369199,0.004888150793122215,-0.00026905564778642284,0.0,0.0,0.0,0.7283380250101495,0.004773929543703738,-0.007176447616663433,0.0005599556221873125,-0.08342225824270418,-0.0002434235443593627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.090271838573845,0.0,0.0,0.0,0.2274089245285951,0.001355631102029095,-0.0003260337072809633,0.0,0.0,-0.0,0.22483701292302644,0.0013402994110173815,-0.0001035547867571762,0.0,0.0,0.0,1.0013749315059162,0.005969400738144642,-0.00031329644657213346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5758850549490627,0.0034329685754462018,-0.00020614612259898678,0.0,0.0,0.0,0.05398922390147463,0.0003218408039480814,-3.921723760853259e-05,0.0,0.0,0.0,0.35397659135402515,0.0021101268458328273,-0.00014379101472173947,0.0,0.0,0.0,30.24309984641916,0.0,-577.0727220301361,9.518503396778856,9.632985256778856,0.6517450021593052,0.008987379338415763,58.86067647058831,0.9996573249755574,0.0,0.026176948307873156,-2.856171185606343e-05,0.0,892.999769921965,180.34154781240267,-30.540561621436552,-0.0,-582.7486308186172,193213.39582370073,-0.007702968191075774,0.0,-0.07328884674917856,3.0179835416418643,0.01798354164186455,0.01798354164186455
0.008888888888888889,94.74274277085208,4.535849148953933,0.0285885287933065,0.25700823212905355,-0.006805003871852324,1.1840841077174458,-0.00025341358510666545,1.1233853491705146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7259907767315354,-2.4649415395253844,0.0,0.0,0.0,0.0,0.0,0.0,0.5481773563709456,0.0034006829818290928,-0.00019997536801674435,0.0,0.0,0.0,0.8203757678103116,0.005089297979702849,-0.00027089551226912924,0.0,0.0,0.0,0.7286839771305242,0.00497032994148958,-0.007180136777631704,0.0005829913826646193,-0.08346191399196728,-0.00025341358510666545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26579901505736636,0.0,0.0,0.0,0.2275197780524819,0.0014114458181469247,-0.0003282614958513921,0.0,0.0,-0.0,0.22494174278669832,0.001395452671854007,-0.00010426173295092502,0.0,0.0,0.0,1.0018413754365556,0.006215041311618687,-0.00031543929628195615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5761533042133248,0.003574235078832784,-0.00020755522913460067,0.0,0.0,0.0,0.0540143722699992,0.00033508453864057353,-3.9484228885922765e-05,0.0,0.0,0.0,0.3541414748830919,0.0021969584711920014,-0.00014477328729048467,0.0,0.0,0.0,30.242325216917727,0.0,-577.0579412187369,9.518301778148249,9.63278363814825,0.6517410385949363,0.0089896734746923,58.85916884531598,0.9996573249755574,0.0,0.026176948307873156,-3.754661337474198e-05,0.0,892.9996890718008,180.35543657648046,-30.05079832918112,-0.0,-573.4033904944595,193262.71728775196,-0.007711259569595071,0.0,-0.07336773394623912,3.0187191904746857,0.018719190474685857,0.018719190474685857
0.01,94.99983421614218,4.540681802125048,0.03000796134299083,1.9047494361786206,-0.007145373057654385,1.1853873122224994,-0.0002655012106308405,1.1233853601863049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.725979196577559,-2.464920876683355,0.0,0.0,0.0,0.0,0.0,0.0,0.5487385923162001,0.0035695673795678095,-0.00022277457516172024,0.0,0.0,0.0,0.8212156864318306,0.005342042216318722,-0.0003017836555402672,0.0,0.0,0.0,0.7295316587267195,0.005216271053654079,-0.0071984985730224466,0.0006118336051756023,-0.08355952987609601,-0.0002655012106308405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9137422078354067,0.0,0.0,0.0,0.22783983052248072,0.001482107579433128,-0.000365683983926127,0.0,0.0,-0.0,0.22517204305388902,0.0014647535109261012,-0.00011614527141442599,0.0,0.0,0.0,1.0028670825089177,0.006523692107485998,-0.0003514082094429974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5767431825447509,0.0037517384044560976,-0.0002312189453444439,0.0,0.0,0.0,0.054069673363570415,0.0003517254754177592,-4.39816845554643e-05,0.0,0.0,0.0,0.35450405265668994,0.0023060636157311346,-0.00016127675837826315,0.0,0.0,0.0,30.241356930031863,0.0,-577.0394652043146,9.5180495598152,9.632531419815201,0.6517360841394751,0.00899772297624599,58.857284313725565,0.9996573249755574,0.0,0.026176948307873156,-4.8678281602499034e-05,0.0,892.999588959211,180.37270617314778,-29.963704181821214,-0.0,-571.7415351639839,193435.7696764625,-0.009051813193493548,0.0,-0.08612224969443792,3.0196387515157124,0.01963875151571249,0.01963875151571249
0.01,95.21645626573768,4.542670530243027,0.030013699381558692,1.904574133717534,-0.007149245633265156,1.1859910779330995,-0.00026511646040906084,1.1233853568387107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.725979196577559,-2.464902252218518,0.0,0.0,0.0,0.0,0.0,0.0,0.5489588604144947,0.0035702837137861526,-0.00024293016883302732,0.0,0.0,0.0,0.8215453290341058,0.005343114247528243,-0.00032908980010899037,0.0,0.0,0.0,0.7299135142180204,0.005216532853160413,-0.007211465602408682,0.000611860471944167,-0.08360372892980932,-0.00026511646040906084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9137422078354067,0.0,0.0,0.0,0.22800833347866484,0.001482906094295923,-0.00039876762153138806,0.0,0.0,-0.0,0.22526242892870646,0.0014650474549674213,-0.0001266513504095898,0.0,0.0,0.0,1.00326964144718,0.006525001270022969,-0.0003832056783610392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769746919115103,0.0037524912964207566,-0.00025213876138074546,0.0,0.0,0.0,0.05409137736670411,0.000351796059039446,-4.795822120521053e-05,0.0,0.0,0.0,0.35464635344364,0.0023065263923373646,-0.00017586691363403662,0.0,0.0,0.0,30.241356929743077,0.0,-577.0394651988044,9.5180495598152,9.632531419815201,0.6517360841394751,0.009002570707989044,58.857284313725565,0.9996573249755574,0.0,0.026176948307873156,-4.548086273498469e-05,0.0,892.9996193824734,180.3726313919999,-29.96370789635208,-0.0,-571.7416060414552,193539.98714090805,-0.010261918418945604,0.0,-0.09763563183734811,3.0196387515157124,0.01963875151571249,0.01963875151571249
0.012018852283979769,93.7738202643711,4.534117761347251,0.03254196783209673,15.14844733519525,-0.007734698115569403,1.1831587335239648,-0.0002902385884041847,1.12338533433442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7259581447198635,-2.465013598710806,0.0,0.0,0.0,0.0,0.0,0.0,0.5480417278478509,0.0038708036637580077,-0.00012625750766335163,0.0,0.0,0.0,0.8201727927102318,0.005792857896796466,-0.00017103111916379811,0.0,0.0,0.0,0.7281807859270056,0.0056607395607729954,-0.007140191778475206,0.0006639855885351002,-0.08340254728787795,-0.0002902385884041847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.156604435646944,0.0,0.0,0.0,0.2271772475972409,0.001604546657012932,-0.0002072552162644079,0.0,0.0,-0.0,0.2248860883237733,0.0015883642620248375,-6.583016832677062e-05,0.0,0.0,0.0,1.0015935026184861,0.007074227385488772,-0.00019915248226222483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5760107539587067,0.004068348126598072,-0.00013104288176519295,0.0,0.0,0.0,0.054001008183628754,0.00038140763686856917,-2.4932595260943504e-05,0.0,0.0,0.0,0.3540538541803271,0.002500672642776078,-9.140670251104329e-05,0.0,0.0,0.0,30.239597580703204,0.0,-577.0058948192932,9.517590732624942,9.632072592624942,0.651727082057124,0.008977275834565047,58.853860181910576,0.9996573249755574,0.0,0.026176948307873156,-1.9615915433006418e-05,0.0,892.9998239037022,180.4046717872229,-29.269800754960738,-0.0,-558.5010690279762,192996.18669291088,-0.0020527415844101725,0.0,-0.019530531564416694,3.021309563632854,0.02130956363285438,0.02130956363285438
0.013028278425969653,93.96446098869457,4.538078531177455,0.033831868406749045,7.141199962113582,-0.008042849307751307,1.1842000913869697,-0.0003014105318525223,1.123385324501653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7259476134209604,-2.4650014381496472,0.0,0.0,0.0,0.0,0.0,0.0,0.5485070880308028,0.004024263520592238,-0.0001394416123318086,0.0,0.0,0.0,0.820869228294374,0.006022518510127695,-0.0001888921021440118,0.0,0.0,0.0,0.7288586384603483,0.00588454559053983,-0.007152560390527838,0.0006902333574531233,-0.08348049456645434,-0.0003014105318525223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.149475617815631,0.0,0.0,0.0,0.2274213227821691,0.001668535107472886,-0.00022889609444365897,0.0,0.0,-0.0,0.22507704646781218,0.0016513357205188836,-7.270278434258189e-05,0.0,0.0,0.0,1.002443988470088,0.007354688503151331,-0.00021995102383156077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5764998635578922,0.004229639727850048,-0.00014472683588821395,0.0,0.0,0.0,0.0540468622085524,0.0003965287244859421,-2.7534229025464495e-05,0.0,0.0,0.0,0.3543544929054169,0.002599813002010192,-0.00010095062951401448,0.0,0.0,0.0,30.238717906305787,0.0,-576.9891096318753,9.517361050560645,9.631842910560643,0.6517225810159485,0.00898311664536925,58.852148116003086,0.9996573249755574,0.0,0.026176948307873156,-1.0778263171939108e-05,0.0,892.9999132648632,180.42035770082526,-29.687407682212015,-0.0,-566.4694838886,193121.75262857662,-0.003025763474169005,0.0,-0.028788216445518617,3.0221449696914253,0.022144969691425324,0.022144969691425324
0.018075409135919075,95.06970206007237,4.559430550550252,0.04030286075662154,24.057007668590607,-0.009594388478108886,1.1899079124540035,-0.0003564017154782176,1.1233854444349904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7258949032134026,-2.4649193856540506,0.0,0.0,0.0,0.0,0.0,0.0,0.5509965623962224,0.004794197568062346,-0.0002299731302580797,0.0,0.0,0.0,0.8245948554481397,0.007174764636341581,-0.0003115435605101924,0.0,0.0,0.0,0.7325735648176835,0.00700554148745278,-0.007228898403113217,0.0008216925037499777,-0.08390806281825312,-0.0003564017154782176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.066088811352667,0.0,0.0,0.0,0.2288019335815812,0.001990795856827835,-0.00037749381874183964,0.0,0.0,-0.0,0.22609858939707056,0.001967274174480756,-0.00011988991832216461,0.0,0.0,0.0,1.0069937174827515,0.008761809348527737,-0.0003627774677349313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5791163869598918,0.0050388669611910455,-0.0002386911864281084,0.0,0.0,0.0,0.05429216127748985,0.00047239377761166054,-4.5392511359568325e-05,0.0,0.0,0.0,0.35596277918942154,0.0030972169461257948,-0.00016648276559215916,0.0,0.0,0.0,30.234319548903244,0.0,-576.905183973076,9.516209953851696,9.630691813851696,0.6517000758100706,0.009017259584208898,58.84358778646562,0.9996573249755574,0.0,0.026176948307873156,-0.00012811193286127229,0.0,892.9988232988451,180.49851555159736,-28.798883242928834,-0.0,-549.5154276122505,193855.7871608407,-0.008762808868470308,0.0,-0.08337255721732029,3.02632199998428,0.026321999984280045,0.026321999984280045
