"part X,Y,Z",Forces & Moments,Magnitude Vectors of Forces and Moments
AeroFX(N),17.654549029480936,
AeroFY(N),60.45953229823936,
AeroFZ(N),4060.905503477745,4061.393916664941
AeroMX(Nm),25.220227769943527,
AeroMY(Nm),8.045145893502925,
AeroMZ(Nm),0.058098280814362,26.47239385899604
Auto-AddedZeroLengthBoatTailFX(N),0.0,
Auto-AddedZeroLengthBoatTailFY(N),0.0,
Auto-AddedZeroLengthBoatTailFZ(N),222.93066201293533,222.93066201293533
Auto-AddedZeroLengthBoatTailMX(Nm),0.0,
Auto-AddedZeroLengthBoatTailMY(Nm),0.0,
Auto-AddedZeroLengthBoatTailMZ(Nm),0.0,0.0
FirstStage.AirbrakesAssemblyFX(N),0.7680910790161141,
FirstStage.AirbrakesAssemblyFY(N),0.7769061328699384,
FirstStage.AirbrakesAssemblyFZ(N),18.12107821712808,18.15398090767501
FirstStage.AirbrakesAssemblyMX(Nm),0.0001114584187886,
FirstStage.AirbrakesAssemblyMY(Nm),0.0003869803191531,
FirstStage.AirbrakesAssemblyMZ(Nm),6.210721166089544e-08,0.0004027117460268521
FirstStage.AirbrakesFX(N),0.0,
FirstStage.AirbrakesFY(N),0.0,
FirstStage.AirbrakesFZ(N),0.0,0.0
FirstStage.AirbrakesMX(Nm),0.0,
FirstStage.AirbrakesMY(Nm),0.0,
FirstStage.AirbrakesMZ(Nm),0.0,0.0
FirstStage.Avionics+UpperplumbingFX(N),0.0,
FirstStage.Avionics+UpperplumbingFY(N),0.0,
FirstStage.Avionics+UpperplumbingFZ(N),0.0,0.0
FirstStage.Avionics+UpperplumbingMX(Nm),0.0,
FirstStage.Avionics+UpperplumbingMY(Nm),0.0,
FirstStage.Avionics+UpperplumbingMZ(Nm),0.0,0.0
FirstStage.AvionicsTube+UpperPlumbingFX(N),1.95095134070093,
FirstStage.AvionicsTube+UpperPlumbingFY(N),1.973341577489644,
FirstStage.AvionicsTube+UpperPlumbingFZ(N),38.19891331380851,38.29957266695138
FirstStage.AvionicsTube+UpperPlumbingMX(Nm),6.813383938757375e-05,
FirstStage.AvionicsTube+UpperPlumbingMY(Nm),0.0002088380695769,
FirstStage.AvionicsTube+UpperPlumbingMZ(Nm),1.330421655916081e-07,0.00021967152085446953
FirstStage.BallastFX(N),0.0,
FirstStage.BallastFY(N),0.0,
FirstStage.BallastFZ(N),0.0,0.0
FirstStage.BallastMX(Nm),0.0,
FirstStage.BallastMY(Nm),0.0,
FirstStage.BallastMZ(Nm),0.0,0.0
FirstStage.CameraAssemblyFX(N),0.0,
FirstStage.CameraAssemblyFY(N),0.0,
FirstStage.CameraAssemblyFZ(N),0.0,0.0
FirstStage.CameraAssemblyMX(Nm),0.0,
FirstStage.CameraAssemblyMY(Nm),0.0,
FirstStage.CameraAssemblyMZ(Nm),0.0,0.0
FirstStage.ChutesFX(N),0.0,
FirstStage.ChutesFY(N),0.0,
