Time(s),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),EulerAngleX(rad),EulerAngleY(rad),EulerAngleZ(rad),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),TimeStep(s),VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s)
0,0.0,0.0,0.0,-3.141592653589793,-8.659560562354932e-17,1.5707963267948963,1.0,0.0,0.0,0.0,0.0,-0.3906067782299465,0.01,0.0,0.0,0.0
0.01,-0.00011107467556149675,0.003849180308088588,0.0013830441817708693,3.1415921083263463,-1.9266304412388873e-05,1.570791241436298,0.9999999999503314,-2.7265621758840075e-07,9.633151512755613e-06,2.700296642915369e-05,-2.8397633681927825e-09,-0.39103807797260076,0.01,0.005396110715325106,-1.1028494278003016e-06,-0.09217551917646435
0.02,-0.0002335513542678321,0.0076747523644619805,0.004876044088441543,3.1415903956413334,-7.690504133471615e-05,1.570761632106647,0.9999999991095987,-1.1296412780519398e-06,3.845250106732409e-05,0.00010783963336949022,-3.21744514353029e-08,-0.39236088295999944,0.009999999999999998,0.010766926253621611,-5.252924193258003e-06,-0.17830438592724263
0.03,-0.00036576614753618683,0.011478060101153296,0.010303639464734362,3.1415874160298465,-0.00017268755642387722,1.5706872725768946,0.9999999947823319,-2.623488036336648e-06,8.63436351814542e-05,0.00024227246326773263,-1.1669617088117798e-07,-0.3945147190163025,0.010000000000000002,0.016115316124084286,-1.209184379790068e-05,-0.25838502080546044
0.04,-0.0005056642895297141,0.015259847563280585,0.017489330914333565,3.1415830980362136,-0.00030639591048741555,1.5705497012700316,0.9999999806506709,-4.796667960330054e-06,0.00015319736431705378,0.00043009421877843483,-2.812394829100428e-07,-0.3974390931011584,0.010000000000000002,0.02144447615400668,-2.121245345664669e-05,-0.3324150539948413
0.05,-0.0006509508070355388,0.01902032910809294,0.026260740483567344,3.141577404876089,-0.00047781731327941707,1.5703322046492318,0.9999999445056691,-7.67979782727077e-06,0.00023890687861074974,0.0006711313246321412,-5.4643641797139e-07,-0.40107348706815504,0.010000000000000002,0.026757945864985404,-3.218574900506041e-05,-0.400392369591774
0.060000000000000005,-0.0007992003280995336,0.022759305678881896,0.03645271864751111,3.141570339089892,-0.0006867394944896002,1.5700197586510014,0.9999998656026245,-1.1290573449381158e-05,0.00034336538240994495,0.0009652473504008664,-9.285928930458089e-07,-0.4053573657233948,0.010000000000000002,0.03205961702158772,-4.4578176637899124e-05,-0.46231515174066395
0.07,-0.0009479296204809737,0.026476294799336813,0.04790848740957947,3.141561945680744,-0.0009329472959735308,1.5695989492788864,0.9999997118649205,-1.56332226039969e-05,0.0004664643551774041,0.001312346567761943,-1.4396927539649309e-06,-0.41023017116802585,0.009999999999999995,0.03735374052787953,-5.7960185166908506e-05,-0.5181808814756658
0.08,-0.0010946422352355496,0.03017065153658294,0.06047946906329647,3.1415523141184387,-0.0012162204893936765,1.5690578888858386,0.9999994371161988,-2.069830517896322e-05,0.0006080924454560646,0.0017123775839063698,-2.08745321515774e-06,-0.41563131785161433,0.009999999999999995,0.04264493576743325,-7.190836347830811e-05,-0.5679863402321276
0.09,-0.0012368253740848941,0.03384165307836799,0.07401665382384538,3.1415415795263204,-0.0015363326129192092,1.5683861576443308,0.9999989784964534,-2.6462710708320786e-05,0.0007681348986195395,0.002165341945696664,-2.875185809681341e-06,-0.42149654345056103,0.009999999999999995,0.04793970542594896,-8.594149781351405e-05,-0.6106354975518142
