Time(s),AOA(deg),AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),AirDensity(kg/m^3),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),Auto-AddedZeroLengthBoatTailFX(N),Auto-AddedZeroLengthBoatTailFY(N),Auto-AddedZeroLengthBoatTailFZ(N),Auto-AddedZeroLengthBoatTailMX(Nm),Auto-AddedZeroLengthBoatTailMY(Nm),Auto-AddedZeroLengthBoatTailMZ(Nm),CGX(m),CGY(m),CGZ(m),CPZ(m),GravityFX(N),GravityFY(N),GravityFZ(N),MOIX(kg*m^2),MOIY(kg*m^2),MOIZ(kg*m^2),Mach,Mass(kg),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),RollAngle(deg),Sustainer.AltimeterMassFX(N),Sustainer.AltimeterMassFY(N),Sustainer.AltimeterMassFZ(N),Sustainer.AltimeterMassMX(Nm),Sustainer.AltimeterMassMY(Nm),Sustainer.AltimeterMassMZ(Nm),Sustainer.GeneralMassFX(N),Sustainer.GeneralMassFY(N),Sustainer.GeneralMassFZ(N),Sustainer.GeneralMassMX(Nm),Sustainer.GeneralMassMY(Nm),Sustainer.GeneralMassMZ(Nm),Sustainer.MotorFX(N),Sustainer.MotorFY(N),Sustainer.MotorFZ(N),Sustainer.MotorMX(Nm),Sustainer.MotorMY(Nm),Sustainer.MotorMZ(Nm),Sustainer.NoseconeFX(N),Sustainer.NoseconeFY(N),Sustainer.NoseconeFZ(N),Sustainer.NoseconeMX(Nm),Sustainer.NoseconeMY(Nm),Sustainer.NoseconeMZ(Nm),Sustainer.TailFinsFX(N),Sustainer.TailFinsFY(N),Sustainer.TailFinsFZ(N),Sustainer.TailFinsMX(Nm),Sustainer.TailFinsMY(Nm),Sustainer.TailFinsMZ(Nm),Sustainer.UpperBodyTubeFX(N),Sustainer.UpperBodyTubeFY(N),Sustainer.UpperBodyTubeFZ(N),Sustainer.UpperBodyTubeMX(Nm),Sustainer.UpperBodyTubeMY(Nm),Sustainer.UpperBodyTubeMZ(Nm),TotalFX(N),TotalFY(N),TotalFZ(N),UnitRe,VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s),WindX(m/s),WindY(m/s),WindZ(m/s)
0,90.0,0.05398982770738185,5.202249311307132e-06,0.02998249501044047,-3.5972391693372175e-05,0.0013235509513370445,4.2923429063718957e-07,1.2250450931946393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3906067782299465,-0.3660918934560697,0.0,0.0,-0.9800908012445719,0.003427483259096467,0.003427483259096467,1.5824632735230976e-05,0.005877786461066576,0.09980300800400001,1.0,0.0,0.0,0.0,0.0,-0.3906067782299465,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030156,0.0,0.0,0.0,0.003236666431346159,0.0,-4.482733872362476e-08,0.0,0.0,-0.0,0.014800537880959414,5.202249311307132e-06,-0.0001732672768809464,-3.6593504999100175e-05,-0.00020260275923827693,4.2923429063718957e-07,0.03595262339507628,0.0,-1.928853398601907e-07,0.0,0.0,0.0,0.05398982770738185,5.202249311307132e-06,-0.9501083062341315,137016.99019718004,0.0,0.0,0.0,2.0,0.0,0.0
0.005,91.36520436117777,0.05384642080111927,-1.1384198491455136e-05,0.06014330161269882,-3.8120528963233384e-05,0.0013191822109343667,2.2293931882739936e-06,1.2250450911596187,-5.247639298879465e-05,0.0019307912705691101,0.0001356221966787163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39058947238602076,-0.3660906464119053,0.0,0.0,-0.9799646109865912,0.0034272511384460477,0.0034272511384460477,1.5824632735230976e-05,0.005871503953194477,0.099790158004,1.0,0.0,0.0,0.0,0.0,-0.3905894746269516,179.9999925235073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06031249999999999,0.0,0.0,0.0,0.0032288342739154874,-4.2132869233347257e-10,-3.27328526419891e-07,0.0,0.0,-1.2982955318485458e-12,0.014762142796614695,-1.1379098406921388e-05,-0.00016746272152174497,-3.676217344942578e-05,-0.0002020375407443368,2.229406940893494e-06,0.03585544373058908,-4.678755841415762e-09,-1.408337253006134e-06,1.0674051170740811e-13,-1.4450137584141517e-10,-1.2454323968671503e-11,0.05384642080111927,-1.1384198491455136e-05,-0.9198213093738923,136870.5385397991,0.0027048196636126434,2.6062587768389863e-07,-0.04759918189019173,2.0,0.0,0.0
0.005,91.32241960900015,0.05384660750453616,-1.0909845063691428e-05,0.06014322414474756,-3.80539117990566e-05,0.001319183759719509,2.1698133422391105e-06,1.2250451191490048,-5.561255086586951e-05,0.0019245485403959874,0.0007044059807184693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39058947238602076,-0.3660906960171736,9.460535669536496e-06,2.5712183257486796e-07,-0.9799646110141055,0.0034272511384460477,0.0034272511384460477,1.5824632735230976e-05,0.005871419877385667,0.099790158004,0.9999999999882841,-1.311909824714743e-07,4.826978176403926e-06,1.3524098318063217e-05,1.3031293884194932e-09,-0.39082746606775487,179.99997716316076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06031249999999999,0.0,0.0,0.0,0.003228798455059838,-1.28692814623584e-09,-3.0985986762527606e-07,0.0,0.0,-6.743133527661308e-12,0.01476213499731572,-1.089426685140893e-05,-0.0001676328187439354,-3.675433068725738e-05,-0.00020203854878126634,2.1698847710169755e-06,0.035855674052160606,-1.429128413626189e-08,-1.3331766408689177e-06,1.1988006528476462e-13,-1.435684716832764e-10,-6.468564433754676e-11,0.0538560680402057,-1.065272323111656e-05,-0.9198213868693579,136868.58157349878,0.002697982540470619,-5.704068777503495e-07,-0.04608777697982111,2.0,0.0,0.0
0.01,92.64700082563019,0.05370849512270609,-2.7175293397169898e-05,0.0903006503204336,-4.011597079483654e-05,0.0013149813733540688,3.904052388209827e-06,1.2250451433258567,-0.00011101983926951118,0.00384910191891052,0.0013711618958513797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3905721620845665,-0.3660888706439609,1.8857469386267294e-05,5.447928790610431e-07,-0.9798384206887601,0.003427018958007478,0.003427018958007478,1.5824632735230976e-05,0.005868184052992853,0.099777308004,0.9999999999474605,-2.780352780885118e-07,9.622743437380473e-06,2.698015958743949e-05,-5.694986012503205e-09,-0.39103303985646115,179.99962618659512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090469,0.0,0.0,0.0,0.003222657714713697,-2.1025504205049137e-08,-1.1137377257847478e-06,0.0,0.0,-1.3121115213578987e-11,0.014727016324565328,-2.692096752115543e-05,-0.00016244425918394598,-3.692222741301269e-05,-0.00020152213900013517,3.904191372780384e-06,0.03575882108342707,-2.3330037180941823e-07,-4.791682656660939e-06,4.776700549505589e-13,-5.74176811621742e-10,-1.2586345534250572e-10,0.05372735259209236,-2.6630500518108856e-05,-0.8895377703683265,136793.15384309285,0.00539604197513243,-1.0880382072641502e-06,-0.09217561382265105,2.0,0.0,0.0
0.01,92.64699939644157,0.053708491016948925,-2.7067446300010207e-05,0.09030064910549372,-4.0118236628145177e-05,0.0013149812457651702,3.903651577920712e-06,1.2250451439183738,-0.00011107467556149675,0.003849180308088588,0.0013830441817708693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3905721620845665,-0.3660888696197287,1.8877865290220127e-05,5.342700749355068e-07,-0.979838420689923,0.003427018958007478,0.003427018958007478,1.5824632735230976e-05,0.005868183838014185,0.099777308004,0.9999999999503314,-2.7265621758840075e-07,9.633151512755613e-06,2.700296642915369e-05,-2.8397633681927825e-09,-0.39103807797260076,179.99973886562663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090469,0.0,0.0,0.0,0.0032226574842685028,-1.4687759725256498e-08,-1.113736493369282e-06,0.0,0.0,-1.3234820542489733e-11,0.014727014965050985,-2.68897821961515e-05,-0.00016244548067100668,-3.6921776331922285e-05,-0.0002015221972163945,3.903791766907334e-06,0.035758818567629434,-1.6297634413345003e-07,-4.7916773418942475e-06,4.781420451202928e-13,-5.742001990207194e-10,-1.2695416607957506e-10,0.05372736888223915,-2.65331762250747e-05,-0.8895377715844293,136793.14889358453,0.005396110715325106,-1.1028494278003016e-06,-0.09217551917646435,2.0,0.0,0.0
0.015,93.92959893974864,0.0535753435564754,-4.2589883206702464e-05,0.12045379078799145,-4.2087017811901245e-05,0.0013109255074392726,5.567987939707443e-06,1.2250451960845923,-0.00016958044592881467,0.00576773078287416,0.0026164540318553723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3905548473238615,-0.36608666597779665,3.7730884770777164e-05,1.0781116361185109e-06,-0.9797122300285241,0.003426785667757655,0.003426785667757655,1.5824537735230977e-05,0.005867797419415866,0.099764458004,0.9999999997964482,-5.503340668768577e-07,1.92561025184974e-05,5.3983853554402574e-05,-8.34456891558187e-09,-0.39148164302819605,179.99937835912667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206245,0.0,0.0,0.0,0.003218091434386457,-3.491526229070002e-08,-2.423869692671659e-06,0.0,0.0,-2.503666084247336e-11,0.01469499747134785,-4.2168043893185805e-05,-0.00015785707092292396,-3.708569883672365e-05,-0.00020105250668723968,5.568253137790716e-06,0.03566225465074109,-3.869240512259579e-07,-1.0428271392946813e-05,1.1143044454887174e-12,-1.2890277858381689e-09,-2.4016142243058285e-10,0.053613074441246175,-4.151177157058395e-05,-0.8592584392405327,136784.1465407876,0.00808761602740092,-2.443087674732411e-06,-0.13675172715037154,2.0,0.0,0.0
0.015,93.88685407476044,0.05357513904107933,-4.243335864681462e-05,0.12045393103215815,-4.201545231851056e-05,0.0013109158194003832,5.510076132142304e-06,1.2250452222963686,-0.0001724084545961778,0.005761945137846144,0.00314233346808953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3905548473238615,-0.3660867499407305,4.712902981111591e-05,1.3644184161631927e-06,-0.9797122296896933,0.003426785667757655,0.003426785667757655,1.5824537735230977e-05,0.005867512900785945,0.099764458004,0.9999999996692387,-6.965548071450593e-07,2.405247987413564e-05,6.744171348224264e-05,-1.5036137460256598e-08,-0.39170451959942754,179.99904565070256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206245,0.0,0.0,0.0,0.0032179434542591026,-5.359979567809171e-08,-2.3714027084031457e-06,0.0,0.0,-3.0067809569666855e-11,0.01469476324650636,-4.178574621107766e-05,-0.00015799505930697802,-3.7078768629468124e-05,-0.00020104999787964935,5.5103946211092745e-06,0.03566243234031386,-5.940126400588649e-07,-1.0202505826459874e-05,1.1517797654889538e-12,-1.2864430475448968e-09,-2.88421157400965e-10,0.05362226807089045,-4.106894023065143e-05,-0.8592582986575351,136777.51686693018,0.008081434929793069,-3.1985026411241485e-06,-0.1352399792310024,2.0,0.0,0.0
0.02,95.1264117197919,0.05344628506249251,-5.774937843921248e-05,0.15060412088990793,-4.386934536630697e-05,0.0013069747852916928,7.105266356978234e-06,1.225045298896452,-0.00023350338188877264,0.007674682672224079,0.004865026546333052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3905375281021821,-0.36608445607776247,7.531626033595963e-05,2.2213924410722676e-06,-0.9795860378739099,0.003426552317673464,0.003426552317673464,1.5824442735230977e-05,0.0058695818370926856,0.099751608004,0.9999999990938182,-1.1345441845942087e-06,3.844288132653291e-05,0.0001078189817946814,-3.477652566190824e-08,-0.39235584374707505,179.99804752069852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15078,0.0,0.0,0.0,0.003214726867641464,-1.0954886598658704e-07,-4.1356480386499934e-06,0.0,0.0,-4.6562359440171507e-11,0.0146654739915905,-5.6427837278866784e-05,-0.00015395017667154765,-3.723941562103803e-05,-0.00020062131609830617,7.10575957344961e-06,0.03556608420326054,-1.2119922943591117e-06,-1.779328538186156e-05,2.1123416609967786e-12,-2.2819108317532203e-09,-4.4665411193518507e-10,0.05352160132282847,-5.5527985998140217e-05,-0.8289819169840019,136825.75381288977,0.010766854489525076,-5.241815302619089e-06,-0.17830447675257627,2.0,0.0,0.0
0.02,95.12641041087322,0.05344628043743502,-5.765009968520622e-05,0.15060411977586774,-4.387143663486473e-05,0.0013069746954341237,7.10490033226353e-06,1.2250452994890968,-0.0002335513542678321,0.0076747523644619805,0.004876044088441543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3905375281021821,-0.36608445406246576,7.533510488224077e-05,2.211854785557876e-06,-0.9795860378740322,0.003426552317673464,0.003426552317673464,1.5824442735230977e-05,0.005869581602864034,0.099751608004,0.9999999991095987,-1.1296412780519398e-06,3.845250106732409e-05,0.00010783963336949022,-3.21744514353029e-08,-0.39236088295999944,179.99815182167822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15078,0.0,0.0,0.0,0.003214726619774056,-1.0369678363139943e-07,-4.13564563409325e-06,0.0,0.0,-4.6667805301100637e-11,0.014665472283786228,-5.639915503335823e-05,-0.00015395130351228132,-3.7238999623922407e-05,-0.00020062136302048555,7.105394665679512e-06,0.03556608153387473,-1.1472478682165925e-06,-1.779327498587869e-05,2.1132096962496236e-12,-2.2819522761849047e-09,-4.4766561068055804e-10,0.053521615542317255,-5.5438244899648345e-05,-0.8289819180981645,136825.74841467285,0.010766926253621611,-5.252924193258003e-06,-0.17830438592724263,2.0,0.0,0.0
0.025,96.32197302507662,0.05332143551382164,-7.240618459987317e-05,0.1807509706959675,-4.5608741575888154e-05,0.0013031259640701887,8.628438930707835e-06,1.2250454023009272,-0.0002973819846671328,0.009581885917994418,0.0071209573694777945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39052020441780433,-0.3660823471889171,0.00011291102692418599,3.3530460999991266e-06,-0.9794598442755545,0.003426318957731778,0.003426318957731778,1.5824342735230977e-05,0.005873914462488696,0.099738758004,0.999999997901151,-1.7133837648915066e-06,5.763938559148716e-05,0.00016167559674732344,-5.839991511812957e-08,-0.39323508338434576,179.99682516689913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180935,0.0,0.0,0.0,0.0032127476213713716,-1.780224929343392e-07,-6.336116862072757e-06,0.0,0.0,-6.818643048218925e-11,0.01463877208655457,-7.026272828514322e-05,-0.0001504311165425828,-3.739398821536102e-05,-0.000200231973209778,8.629161237096742e-06,0.035469915805895695,-1.9654338217956045e-06,-2.7262070627857435e-05,3.425568163083862e-12,-3.5563565395515653e-09,-6.541199584253848e-10,0.053434346540745824,-6.905313849987405e-05,-0.7987088735795871,136926.76239855794,0.01344647526146695,-8.032595646506802e-06,-0.2198569006279693,2.0,0.0,0.0
