"part X,Y,Z",Forces & Moments,Magnitude Vectors of Forces and Moments
AeroFX(N),0.1456742581623401,
AeroFY(N),0.1511942344613125,
AeroFZ(N),11.377640373367171,11.379577371400933
AeroMX(Nm),0.0048455596748283,
AeroMY(Nm),0.0048316140389846,
AeroMZ(Nm),0.0025267161059713,0.007294397649169532
Auto-AddedZeroLengthBoatTailFX(N),0.0,
Auto-AddedZeroLengthBoatTailFY(N),0.0,
Auto-AddedZeroLengthBoatTailFZ(N),0.1368598091422226,0.1368598091422226
Auto-AddedZeroLengthBoatTailMX(Nm),0.0,
Auto-AddedZeroLengthBoatTailMY(Nm),0.0,
Auto-AddedZeroLengthBoatTailMZ(Nm),0.0,0.0
GravityFX(N),0.321802928478433,
GravityFY(N),0.3355370349065162,
GravityFZ(N),0.980090801244572,1.0847673507510167
Sustainer.AltimeterMassFX(N),0.0,
Sustainer.AltimeterMassFY(N),0.0,
Sustainer.AltimeterMassFZ(N),0.0,0.0
Sustainer.AltimeterMassMX(Nm),0.0,
Sustainer.AltimeterMassMY(Nm),0.0,
Sustainer.AltimeterMassMZ(Nm),0.0,0.0
Sustainer.GeneralMassFX(N),0.0,
Sustainer.GeneralMassFY(N),0.0,
Sustainer.GeneralMassFZ(N),0.0,0.0
Sustainer.GeneralMassMX(Nm),0.0,
Sustainer.GeneralMassMY(Nm),0.0,
Sustainer.GeneralMassMZ(Nm),0.0,0.0
Sustainer.MotorFX(N),0.0,
Sustainer.MotorFY(N),0.0,
Sustainer.MotorFZ(N),11.401284762697756,11.401284762697756
Sustainer.MotorMX(Nm),0.0,
Sustainer.MotorMY(Nm),0.0,
Sustainer.MotorMZ(Nm),0.0,0.0
Sustainer.NoseconeFX(N),0.0261483054357153,
Sustainer.NoseconeFY(N),0.0261994636979006,
Sustainer.NoseconeFZ(N),0.0792454165619491,0.08746417450187194
Sustainer.NoseconeMX(Nm),0.0,
Sustainer.NoseconeMY(Nm),0.0,
Sustainer.NoseconeMZ(Nm),2.037640648229069e-05,2.037640648229069e-05
Sustainer.TailFinsFX(N),0.0987103496869274,
Sustainer.TailFinsFY(N),0.0992506577773588,
Sustainer.TailFinsFZ(N),0.1224752796850206,0.18599629119549105
Sustainer.TailFinsMX(Nm),0.0014055424578611,
Sustainer.TailFinsMY(Nm),0.0013709260928191,
Sustainer.TailFinsMZ(Nm),0.0025415342558786,0.003211601520523188
Sustainer.UpperBodyTubeFX(N),0.0359526233950762,
Sustainer.UpperBodyTubeFY(N),0.027716179252151,
Sustainer.UpperBodyTubeFZ(N),0.4011622921147607,0.40372263044829937
Sustainer.UpperBodyTubeMX(Nm),2.797588740303572e-06,
Sustainer.UpperBodyTubeMY(Nm),2.5018354307514253e-06,
Sustainer.UpperBodyTubeMZ(Nm),0.000230084013967,0.00023011462180063457
TotalFX(N),0.2861577239552796,
TotalFY(N),0.2937225023795805,
TotalFZ(N),10.415370131751937,10.423439649788056
