"part X,Y,Z",Forces & Moments,Magnitude Vectors of Forces and Moments
AeroFX(N),26.251973662174507,
AeroFY(N),32.63058551971778,
AeroFZ(N),4060.940484765384,4061.156429151558
AeroMX(Nm),13.764180941399346,
AeroMY(Nm),9.873988846598577,
AeroMZ(Nm),0.004330017237669,16.93954991962252
Auto-AddedZeroLengthBoatTailFX(N),0.0,
Auto-AddedZeroLengthBoatTailFY(N),0.0,
Auto-AddedZeroLengthBoatTailFZ(N),268.9285006592746,268.9285006592746
Auto-AddedZeroLengthBoatTailMX(Nm),0.0,
Auto-AddedZeroLengthBoatTailMY(Nm),0.0,
Auto-AddedZeroLengthBoatTailMZ(Nm),0.0,0.0
FirstStage.AirbrakesFX(N),0.0,
FirstStage.AirbrakesFY(N),0.0,
FirstStage.AirbrakesFZ(N),0.0,0.0
FirstStage.AirbrakesMX(Nm),0.0,
FirstStage.AirbrakesMY(Nm),0.0,
FirstStage.AirbrakesMZ(Nm),0.0,0.0
FirstStage.AirbrakesTubeFX(N),0.071246976959337,
FirstStage.AirbrakesTubeFY(N),0.0833179754730869,
FirstStage.AirbrakesTubeFZ(N),8.992095302555535,8.992763532252146
FirstStage.AirbrakesTubeMX(Nm),1.645961823674362e-05,
FirstStage.AirbrakesTubeMY(Nm),0.0001701799578317,
FirstStage.AirbrakesTubeMZ(Nm),1.9293349223986466e-08,0.0001709740841540959
FirstStage.AvionicsFX(N),0.0,
FirstStage.AvionicsFY(N),0.0,
FirstStage.AvionicsFZ(N),0.0,0.0
FirstStage.AvionicsMX(Nm),0.0,
FirstStage.AvionicsMY(Nm),0.0,
FirstStage.AvionicsMZ(Nm),0.0,0.0
FirstStage.AvionicsTube+UpperPlumbingFX(N),0.654153738630212,
FirstStage.AvionicsTube+UpperPlumbingFY(N),0.7649835470482714,
FirstStage.AvionicsTube+UpperPlumbingFZ(N),52.98971820257049,52.99927690194318
FirstStage.AvionicsTube+UpperPlumbingMX(Nm),4.125440655127049e-05,
FirstStage.AvionicsTube+UpperPlumbingMY(Nm),0.0003823236200661,
FirstStage.AvionicsTube+UpperPlumbingMZ(Nm),1.1613595665537565e-07,0.00038454296249951773
FirstStage.BallastFX(N),0.0,
FirstStage.BallastFY(N),0.0,
FirstStage.BallastFZ(N),0.0,0.0
FirstStage.BallastMX(Nm),0.0,
FirstStage.BallastMY(Nm),0.0,
FirstStage.BallastMZ(Nm),0.0,0.0
FirstStage.CameraAssemblyFX(N),0.0,
FirstStage.CameraAssemblyFY(N),0.0,
FirstStage.CameraAssemblyFZ(N),0.0,0.0
FirstStage.CameraAssemblyMX(Nm),0.0,
FirstStage.CameraAssemblyMY(Nm),0.0,
FirstStage.CameraAssemblyMZ(Nm),0.0,0.0
FirstStage.CameraTubeFX(N),0.3017220732441674,
FirstStage.CameraTubeFY(N),0.3528412484447453,
FirstStage.CameraTubeFZ(N),28.5320787681344,28.535855550291686
FirstStage.CameraTubeMX(Nm),0.0001287683815498,
FirstStage.CameraTubeMY(Nm),0.0014069365433583,
FirstStage.CameraTubeMZ(Nm),6.145406931303892e-08,0.0014128169509531514
FirstStage.ChutesFX(N),0.0,
FirstStage.ChutesFY(N),0.0,
FirstStage.ChutesFZ(N),0.0,0.0
FirstStage.ChutesMX(Nm),0.0,
FirstStage.ChutesMY(Nm),0.0,
FirstStage.ChutesMZ(Nm),0.0,0.0
FirstStage.DeltaFinsFX(N),18.04022478806361,
FirstStage.DeltaFinsFY(N),23.47460367173358,
FirstStage.DeltaFinsFZ(N),96.1868964586375,100.64008037702217
FirstStage.DeltaFinsMX(Nm),4.297446119736595,
FirstStage.DeltaFinsMY(Nm),3.189856329586953,
FirstStage.DeltaFinsMZ(Nm),0.004330017237669,5.351938462323193
FirstStage.FinCan+CC+MoterLinerFX(N),0.6338699017734611,
FirstStage.FinCan+CC+MoterLinerFY(N),0.741263126984759,
FirstStage.FinCan+CC+MoterLinerFZ(N),51.671117252230346,51.68032140156965
FirstStage.FinCan+CC+MoterLinerMX(Nm),0.0005114411954473,
FirstStage.FinCan+CC+MoterLinerMY(Nm),0.0075069724911889,
FirstStage.FinCan+CC+MoterLinerMZ(Nm),1.1314535565372588e-07,0.007524374265855555
FirstStage.LowerInjectorBulkheadFX(N),0.0,
FirstStage.LowerInjectorBulkheadFY(N),0.0,
FirstStage.LowerInjectorBulkheadFZ(N),0.0,0.0
FirstStage.LowerInjectorBulkheadMX(Nm),0.0,
FirstStage.LowerInjectorBulkheadMY(Nm),0.0,
FirstStage.LowerInjectorBulkheadMZ(Nm),0.0,0.0
FirstStage.LowerPVBulkheadFX(N),0.0,
FirstStage.LowerPVBulkheadFY(N),0.0,
FirstStage.LowerPVBulkheadFZ(N),0.0,0.0
FirstStage.LowerPVBulkheadMX(Nm),0.0,
FirstStage.LowerPVBulkheadMY(Nm),0.0,
FirstStage.LowerPVBulkheadMZ(Nm),0.0,0.0
FirstStage.LowerPVCasingFX(N),0.0095080485266019,
FirstStage.LowerPVCasingFY(N),0.0111189469047713,
FirstStage.LowerPVCasingFZ(N),1.7952331509303572,1.7952927616871834
FirstStage.LowerPVCasingMX(Nm),1.3465804125811589e-06,
FirstStage.LowerPVCasingMY(Nm),1.976520899060388e-05,
FirstStage.LowerPVCasingMZ(Nm),4.411738387658712e-09,1.9811026846512305e-05
