Time(s),AOA(deg),AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),AirDensity(kg/m^3),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),Auto-AddedZeroLengthBoatTailFX(N),Auto-AddedZeroLengthBoatTailFY(N),Auto-AddedZeroLengthBoatTailFZ(N),Auto-AddedZeroLengthBoatTailMX(Nm),Auto-AddedZeroLengthBoatTailMY(Nm),Auto-AddedZeroLengthBoatTailMZ(Nm),CGX(m),CGY(m),CGZ(m),CPZ(m),FirstStage.AvionicsFX(N),FirstStage.AvionicsFY(N),FirstStage.AvionicsFZ(N),FirstStage.AvionicsMX(Nm),FirstStage.AvionicsMY(Nm),FirstStage.AvionicsMZ(Nm),FirstStage.BodyTubeFX(N),FirstStage.BodyTubeFY(N),FirstStage.BodyTubeFZ(N),FirstStage.BodyTubeMX(Nm),FirstStage.BodyTubeMY(Nm),FirstStage.BodyTubeMZ(Nm),FirstStage.CameraAssemblyFX(N),FirstStage.CameraAssemblyFY(N),FirstStage.CameraAssemblyFZ(N),FirstStage.CameraAssemblyMX(Nm),FirstStage.CameraAssemblyMY(Nm),FirstStage.CameraAssemblyMZ(Nm),FirstStage.FinsFX(N),FirstStage.FinsFY(N),FirstStage.FinsFZ(N),FirstStage.FinsMX(Nm),FirstStage.FinsMY(Nm),FirstStage.FinsMZ(Nm),FirstStage.MotorFX(N),FirstStage.MotorFY(N),FirstStage.MotorFZ(N),FirstStage.MotorMX(Nm),FirstStage.MotorMY(Nm),FirstStage.MotorMZ(Nm),FirstStage.NoseConeFX(N),FirstStage.NoseConeFY(N),FirstStage.NoseConeFZ(N),FirstStage.NoseConeMX(Nm),FirstStage.NoseConeMY(Nm),FirstStage.NoseConeMZ(Nm),FirstStage.RecoverySystemFX(N),FirstStage.RecoverySystemFY(N),FirstStage.RecoverySystemFZ(N),FirstStage.RecoverySystemMX(Nm),FirstStage.RecoverySystemMY(Nm),FirstStage.RecoverySystemMZ(Nm),FirstStage.RecoveryTubeFX(N),FirstStage.RecoveryTubeFY(N),FirstStage.RecoveryTubeFZ(N),FirstStage.RecoveryTubeMX(Nm),FirstStage.RecoveryTubeMY(Nm),FirstStage.RecoveryTubeMZ(Nm),GravityFX(N),GravityFY(N),GravityFZ(N),MOIX(kg*m^2),MOIY(kg*m^2),MOIZ(kg*m^2),Mach,Mass(kg),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),RollAngle(deg),TotalFX(N),TotalFY(N),TotalFZ(N),UnitRe,VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s),WindX(m/s),WindY(m/s),WindZ(m/s)
0,93.21616883593049,1.230426922337573,0.0043119519092873395,-0.002507460703443476,-0.0002107085888256787,0.0038015953847798656,-8.673617379884035e-19,1.1254110087281046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2770994595512568,-1.2740092418111522,0.0,0.0,0.0,0.0,0.0,0.0,0.49312160580975434,0.0018636058724044678,-7.540962069187664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2625128621124027,0.0006540097194365327,-0.002338925709279842,3.783809966204246e-05,-0.015187829085682324,-8.673617379884035e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0832630312840599,0.0003146677659770501,-2.9773988219254743e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391529423131356,0.0014796685514692886,-6.335138525250292e-05,0.0,0.0,0.0,3.5057339952577404,0.0,-66.89338955432846,2.1955255046215787,2.1955255046215787,0.066173013946,0.00893884280323212,6.823000420000002,0.9996573249755574,0.0,0.026176948307873156,0.0,0.0,874.603032,180.21653126038177,-3.4832900644166065,-0.0,-66.46513384213887,192493.55715497138,0.0,0.0,0.0,3.0113627021464726,0.011362702146472793,0.011362702146472793
0.002,93.6160351847204,1.2315863802457054,0.004944801367359964,8.388718504105166,-0.00024147694519493227,0.004395960486804823,-8.673617379884035e-19,1.125411006184468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2770763409962018,-1.2735062632445306,0.0,0.0,0.0,0.0,0.0,0.0,0.49397177376338675,0.0021369202353722174,-9.528472167178917e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26196883029031476,0.0007502391006013882,-0.002348661301236711,4.340550455943378e-05,-0.015156353819043745,-8.673617379884035e-19,0.0,0.0,8.391280118013439,0.0,0.0,0.0,0.08344133544931473,0.000360966937097769,-3.76201974737203e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922044407426891,0.0016966750942885899,-8.004768789059411e-05,0.0,0.0,0.0,3.5054314930021215,0.0,-66.88761746744066,2.1954832465500136,2.1954832465500136,0.066173013946,0.008950282824449513,6.822411678000003,0.9996573249755574,0.0,0.026176948307873156,1.2098257502830336e-06,0.0,874.6030550848504,180.24785980370837,-3.0444250659675887,-0.0,-58.09109081927354,192739.91194491994,-0.002039288361318075,0.0,-0.01940253269683452,3.0130179120203207,0.013017912020320732,0.013017912020320732
0.003,93.76346563006526,1.232179960253969,0.0052613748829499875,12.584336683869967,-0.0002568578630305019,0.004610560382843326,-8.673617379884035e-19,1.1254110097224252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2770647802223432,-1.2733221669463601,0.0,0.0,0.0,0.0,0.0,0.0,0.4943496861063787,0.0022736441061422925,-0.00010325839603374812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26180674824179456,0.0007983734969734281,-0.002352720943352639,4.619034709765579e-05,-0.015146976471088397,-8.673617379884035e-19,0.0,0.0,12.586920177020161,0.0,0.0,0.0,0.0835190297611476,0.0003841259640777705,-4.076785218274755e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392504496144648,0.0018052313157564963,-8.674595862423862e-05,0.0,0.0,0.0,3.505280241922341,0.0,-66.8847314249132,2.195462114779108,2.195462114779108,0.066173013946,0.008955197176368047,6.822117307000003,0.9996573249755574,0.0,0.026176948307873156,-2.773427478683654e-06,0.0,874.6030229760175,180.26351648746802,-2.82499225721603,-0.0,-53.904063401712925,192845.74064803997,-0.0027700559140386733,0.0,-0.026355321524738608,3.013845516957245,0.0138455169572447,0.0138455169572447
0.008,94.44042351828183,1.2352048014138965,0.006847881018943258,33.5624246312207,-0.00033379475004728155,0.00558013783424488,-8.673617379884035e-19,1.1254110219882825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.277006961384569,-1.2724880210413922,0.0,0.0,0.0,0.0,0.0,0.0,0.4961890373990473,0.0029586701596447116,-0.00014439178281762036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26115001202000127,0.0010397985704770846,-0.0023731453396124555,6.0158130328794424e-05,-0.015108980628101084,-8.673617379884035e-19,0.0,0.0,33.565120472053756,0.0,0.0,0.0,0.08390084498588218,0.0005002829722517019,-5.700442687980624e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3939649070089658,0.0023491293165697597,-0.0001212992837466993,0.0,0.0,0.0,3.5045239864692417,0.0,-66.87030121124177,2.195356428563913,2.195356428563913,0.066173013946,0.008979479358218434,6.820645452000003,0.9996573249755574,0.0,0.026176948307873156,-1.751634235219575e-05,0.0,874.6029116568593,180.34163855165528,-1.7278282116961192,-0.0,-32.968926280286645,193368.64738905092,-0.00610262096070997,0.0,-0.05806255994617267,3.0179835416418643,0.01798354164186455,0.01798354164186455
0.008888888888888889,94.53020150144943,1.2357491789452622,0.007130361339453726,37.29186585133273,-0.0003474725512654489,0.005705144037528087,0.0,1.125411016163532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2769966798675148,-1.272378461971557,0.0,0.0,0.0,0.0,0.0,0.0,0.496488781272535,0.00308063216829266,-0.00015042564937165748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26109565119785666,0.0010827946596531472,-0.0023762715429740153,6.264569321810986e-05,-0.015105835552202532,0.0,0.0,0.0,37.294578302281955,0.0,0.0,0.0,0.083961848381168,0.000520969618627404,-5.938597070414156e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3942028980937026,0.0024459648928805157,-0.00012636778617558967,0.0,0.0,0.0,3.5043895409754375,0.0,-66.86773583839744,2.1953376351279723,2.1953376351279723,0.066173013946,0.008983301923988173,6.820383788888892,0.9996573249755574,0.0,0.026176948307873156,-1.2501540756998126e-05,0.0,874.6029645195565,180.35550643440297,-1.5327766318375822,-0.0,-29.247120423848568,193450.96351741574,-0.006526975865421884,0.0,-0.06210002716753899,3.0187191904746857,0.018719190474685857,0.018719190474685857
0.01,94.62951031491295,1.2364306723627323,0.0074836095267358845,41.95366920331274,-0.0003645690347071482,0.005841867375877247,0.0,1.125411023755549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2769838268617564,-1.2722574317546829,0.0,0.0,0.0,0.0,0.0,0.0,0.4968518698459039,0.003233149756205473,-0.00015726632681871923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26105270130459274,0.0011365607568220911,-0.0023799205942548374,6.575636096914928e-05,-0.015103350662003662,0.0,0.0,0.0,41.956400590067204,0.0,0.0,0.0,0.08403491751514046,0.0005468379804248074,-6.20858731007412e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3944911836970951,0.002567061033283513,-0.00013211396028784173,0.0,0.0,0.0,3.504221484256652,0.0,-66.864529125175,2.195314141305115,2.195314141305115,0.066173013946,0.008987842528056835,6.820056710000003,0.9996573249755574,0.0,0.026176948307873156,-2.041974631956214e-05,0.0,874.6028956179804,180.37283390111713,-1.2889620588857296,-0.0,-24.594861230894185,193548.74439957872,-0.006986047485594223,0.0,-0.06646780187244902,3.0196387515157124,0.01963875151571249,0.01963875151571249
0.01,94.62951114731146,1.2364306883480431,0.007483609630751571,41.95366920313659,-0.0003645690395951151,0.005841868683852086,-8.673617379884035e-19,1.1254110382338225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2769838268617564,-1.2722574307579384,0.0,0.0,0.0,0.0,0.0,0.0,0.4968518770026399,0.0032331498002878666,-0.0001572663858437072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2610527031415375,0.001136560773655597,-0.0023799206385273675,6.575636194306123e-05,-0.015103350768281131,-8.673617379884035e-19,0.0,0.0,41.956400590067204,0.0,0.0,0.0,0.08403491882445478,0.0005468379885239911,-6.208589638541738e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3944911893794109,0.0025670610682841165,-0.00013211400986132862,0.0,0.0,0.0,3.504221484401177,0.0,-66.86452912793271,2.195314141305115,2.195314141305115,0.066173013946,0.008987842531963282,6.820056710000003,0.9996573249755574,0.0,0.026176948307873156,-3.422991523091876e-05,0.0,874.6027642199851,180.37283390083016,-1.2889620589948851,-0.0,-24.594861232977,193548.7468092715,-0.006986052124850856,0.0,-0.06646784601202714,3.0196387515157124,0.01963875151571249,0.01963875151571249
0.012020009999543623,93.54146669093504,1.237650082387393,0.008114089577004142,50.429072129991624,-0.00039531668533903134,0.004182620800272763,-8.673617379884035e-19,1.1254110209510495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2769604568233728,-1.2735790223663603,0.0,0.0,0.0,0.0,0.0,0.0,0.4963487672253786,0.0035066050953636986,-9.180223746899266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2633735545122869,0.0012310201255818839,-0.00235816730934202,7.12213608046655e-05,-0.015237624927911147,-8.673617379884035e-19,0.0,0.0,50.431635463746574,0.0,0.0,0.0,0.08383603111661442,0.0005922848474711763,-3.624335734839454e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3940917295331132,0.0027841795085873826,-7.712085079381635e-05,0.0,0.0,0.0,3.503915955463683,0.0,-66.85869928851433,2.195271423550819,2.195271423550819,0.066173013946,0.008971131021206686,6.819462077636427,0.9996573249755574,0.0,0.026176948307873156,-1.2888906398896671e-05,0.0,874.6029210703019,180.4047765263496,-0.8456944420336465,-0.0,-16.13681124449605,193188.86991368097,-0.0007625003885267967,0.0,-0.007254706592930263,3.0213105217639704,0.021310521763970577,0.021310521763970577
0.013030014999315435,93.57269616058869,1.2382582817327759,0.008434770789233811,54.66668410098695,-0.00041083528466070876,0.004221014860571054,-8.673617379884035e-19,1.1254110122350554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2769487702757776,-1.2735378361652843,0.0,0.0,0.0,0.0,0.0,0.0,0.496624318117678,0.003645163365438602,-9.346540855033703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26343803642710417,0.001279706253642317,-0.0023599166032125685,7.403812408961606e-05,-0.015241355565311091,-8.673617379884035e-19,0.0,0.0,54.66925290058626,0.0,0.0,0.0,0.08388541534918927,0.0006157089610199279,-3.689971603640504e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3943105118388046,0.0028941922091329647,-7.851787150857854e-05,0.0,0.0,0.0,3.5037631909942024,0.0,-66.85578436879113,2.195250061879924,2.195250061879924,0.066173013946,0.008973933846672267,6.819164761454639,0.9996573249755574,0.0,0.026176948307873156,-5.190027946944537e-06,0.0,874.6030001725638,180.42053664795486,-0.6240653149077112,-0.0,-11.907875575824187,193249.22597612086,-0.0008488020718021137,0.0,-0.008075812260624517,3.0221464068880994,0.022146406888099622,0.022146406888099622
0.018080039998174494,93.66957672617339,1.2413072373765488,0.010040236953351761,75.85475165376734,-0.0004884210636658246,0.004323194554628124,-8.673617379884035e-19,1.1254110725804423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2768903222484327,-1.2734045921145967,0.0,0.0,0.0,0.0,0.0,0.0,0.4979497002135492,0.004338873499005572,-9.881346899138694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26387640841326215,0.0015234154368791292,-0.002367597894441802,8.813805577230468e-05,-0.015266717822794946,-8.673617379884035e-19,0.0,0.0,75.85734008478468,0.0,0.0,0.0,0.08411828807092403,0.0007329628087658756,-3.900984303938601e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39536284067881344,0.0034449852087011837,-8.30098108719021e-05,0.0,0.0,0.0,3.5029993696839563,0.0,-66.84120978996533,2.195143225578237,2.195143225578237,0.066173013946,0.008986911458527215,6.8176781805457,0.9996573249755574,0.0,0.026176948307873156,-6.582788868786827e-05,0.0,874.6024525062436,180.49923285004485,0.48408074381017724,0.0,9.236810840539134,193528.7021193422,-0.0009523343345837286,0.0,-0.009060855941499154,3.026325832508745,0.026325832508744845,0.026325832508744845
